date,agent,ticker,belief,source
2022-05-02,MomentumAgent,OMEGA,0.37678325478804525,reputation_weighted
2022-05-02,MomentumAgent,ALPHA,0.0,reputation_weighted
2022-05-02,MomentumAgent,DELTA,0.3097524159812915,reputation_weighted
2022-05-02,MomentumAgent,ALPHA,-0.23541584623677306,own
2022-05-02,MomentumAgent,BETA,-0.23541584623677306,own
2022-05-02,MomentumAgent,DELTA,0.5229974993566789,own
2022-05-02,MomentumAgent,GAMMA,-0.23541584623677306,own
2022-05-02,MomentumAgent,OMEGA,0.008953370359681245,own
2022-05-02,MomentumAgent,SIGMA,0.41458415376322694,own
2022-05-02,MomentumAgent,ALPHA,-0.3178113924196436,own
2022-05-02,MomentumAgent,BETA,-0.3178113924196436,own
2022-05-02,MomentumAgent,DELTA,0.5976332785380646,own
2022-05-02,MomentumAgent,GAMMA,-0.3178113924196436,own
2022-05-02,MomentumAgent,OMEGA,-0.11978708919024615,own
2022-05-02,MomentumAgent,SIGMA,0.5596886075803563,own
2022-05-02,MomentumAgent,OMEGA,-0.11978708919024615,snapshot
2022-05-02,MomentumAgent,ALPHA,-0.3178113924196436,snapshot
2022-05-02,MomentumAgent,DELTA,0.5976332785380646,snapshot
2022-05-02,MomentumAgent,BETA,-0.3178113924196436,snapshot
2022-05-02,MomentumAgent,GAMMA,-0.3178113924196436,snapshot
2022-05-02,MomentumAgent,SIGMA,0.5596886075803563,snapshot
2022-05-09,MomentumAgent,OMEGA,0.2827054412105415,reputation_weighted
2022-05-09,MomentumAgent,ALPHA,-0.12712455696785746,reputation_weighted
2022-05-09,MomentumAgent,DELTA,0.574581716638586,reputation_weighted
2022-05-09,MomentumAgent,ALPHA,-0.2611602616054168,own
2022-05-09,MomentumAgent,BETA,-0.32790065401354196,own
2022-05-09,MomentumAgent,DELTA,0.6344369341568386,own
2022-05-09,MomentumAgent,GAMMA,-0.32790065401354196,own
2022-05-09,MomentumAgent,OMEGA,-0.11771976224297716,own
2022-05-09,MomentumAgent,SIGMA,0.6292243459864582,own
2022-05-09,MomentumAgent,ALPHA,-0.30807275822856256,own
2022-05-09,MomentumAgent,BETA,-0.33143189557140634,own
2022-05-09,MomentumAgent,DELTA,0.6553862602882269,own
2022-05-09,MomentumAgent,GAMMA,-0.33143189557140634,own
2022-05-09,MomentumAgent,OMEGA,-0.25786858345170866,own
2022-05-09,MomentumAgent,SIGMA,0.6535618544285937,own
2022-05-09,MomentumAgent,OMEGA,-0.25786858345170866,snapshot
2022-05-09,MomentumAgent,ALPHA,-0.30807275822856256,snapshot
2022-05-09,MomentumAgent,DELTA,0.6553862602882269,snapshot
2022-05-09,MomentumAgent,BETA,-0.33143189557140634,snapshot
2022-05-09,MomentumAgent,GAMMA,-0.33143189557140634,snapshot
2022-05-09,MomentumAgent,SIGMA,0.6535618544285937,snapshot
2022-05-16,MomentumAgent,OMEGA,0.10395769375965266,reputation_weighted
2022-05-16,MomentumAgent,ALPHA,-0.12322910329142503,reputation_weighted
2022-05-16,MomentumAgent,DELTA,0.5339753533743996,reputation_weighted
2022-05-16,MomentumAgent,GAMMA,0.3309900276210975,reputation_weighted
2022-05-16,MomentumAgent,ALPHA,-0.25979685281866544,own
2022-05-16,MomentumAgent,BETA,-0.3326678301166589,own
2022-05-16,MomentumAgent,DELTA,0.6202247070143733,own
2022-05-16,MomentumAgent,GAMMA,-0.10082015699928255,own
2022-05-16,MomentumAgent,OMEGA,-0.18028147385078824,own
2022-05-16,MomentumAgent,SIGMA,0.6620799823833412,own
