date,agent,equity,cash,pnl,pnl_pct,positions_json,position_summary,last_action,friend_count,friends
2023-01-16,LowVolatilityAgent,73405.2803901,13601.503490099996,-26594.7196099,-0.26594719609899997,"{""ALPHA"": 466, ""BETA"": 53, ""DELTA"": 0, ""GAMMA"": 714, ""OMEGA"": 39, ""SIGMA"": 45}","GAMMA:714, ALPHA:466, BETA:53, SIGMA:45","BUY 45 SIGMA @ 97.25，成交额 4,376.18，手续费 4.38",6,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, SocialGraphAgent"
2023-01-16,DrawdownBuyerAgent,49127.76985780001,2533.061457800003,-50872.23014219999,-0.5087223014219999,"{""ALPHA"": 15, ""BETA"": 69, ""DELTA"": 22, ""GAMMA"": 353, ""OMEGA"": 365, ""SIGMA"": 132}","OMEGA:365, GAMMA:353, SIGMA:132, BETA:69","BUY 46 SIGMA @ 97.25，成交额 4,473.43，手续费 4.47",4,"CommitteeTeamAgent, ContrarianAgent, LowVolatilityAgent, SocialGraphAgent"
2023-01-16,RandomAgent,57487.30072450002,2512.3366245000134,-42512.69927549998,-0.42512699275499977,"{""ALPHA"": 141, ""BETA"": 128, ""DELTA"": 108, ""GAMMA"": 363, ""OMEGA"": 133, ""SIGMA"": 117}","GAMMA:363, ALPHA:141, OMEGA:133, BETA:128","BUY 82 SIGMA @ 97.25，成交额 7,974.38，手续费 7.97",2,"CommitteeTeamAgent, DynamicTeamAgent"
2023-01-16,CommitteeTeamAgent,58113.6748529,3429.1652528999994,-41886.3251471,-0.418863251471,"{""ALPHA"": 247, ""BETA"": 63, ""DELTA"": 38, ""GAMMA"": 491, ""OMEGA"": 119, ""SIGMA"": 120}","GAMMA:491, ALPHA:247, SIGMA:120, OMEGA:119","BUY 44 SIGMA @ 97.25，成交额 4,278.93，手续费 4.28",6,"DrawdownBuyerAgent, DynamicTeamAgent, LowVolatilityAgent, MomentumAgent, RandomAgent, SocialGraphAgent"
2023-01-16,DynamicTeamAgent,57881.335427200014,3287.4947272000163,-42118.664572799986,-0.4211866457279999,"{""ALPHA"": 248, ""BETA"": 62, ""DELTA"": 38, ""GAMMA"": 491, ""OMEGA"": 119, ""SIGMA"": 119}","GAMMA:491, ALPHA:248, OMEGA:119, SIGMA:119","BUY 44 SIGMA @ 97.25，成交额 4,278.93，手续费 4.28",6,"CommitteeTeamAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, RandomAgent, SocialGraphAgent"
2023-01-16,TruthfulReporterAgent,82844.64994130004,17449.10524130003,-17155.350058699958,-0.17155350058699959,"{""ALPHA"": 526, ""BETA"": 55, ""DELTA"": 0, ""GAMMA"": 808, ""OMEGA"": 24, ""SIGMA"": 39}","GAMMA:808, ALPHA:526, BETA:55, SIGMA:39","BUY 39 SIGMA @ 97.25，成交额 3,792.69，手续费 3.79",1,MomentumAgent
2023-01-16,PersuaderAgent,37418.634062900026,2873.552262900028,-62581.365937099974,-0.6258136593709998,"{""ALPHA"": 63, ""BETA"": 115, ""DELTA"": 78, ""GAMMA"": 66, ""OMEGA"": 49, ""SIGMA"": 134}","SIGMA:134, BETA:115, DELTA:78, GAMMA:66",BUY 10 SIGMA @ 97.25，成交额 972.49，手续费 0.97,2,"ContrarianAgent, MeanReversionAgent"
2023-01-16,FreeRiderAgent,73866.2373128,14442.251712800004,-26133.762687199996,-0.261337626872,"{""ALPHA"": 469, ""BETA"": 48, ""DELTA"": 0, ""GAMMA"": 718, ""OMEGA"": 40, ""SIGMA"": 40}","GAMMA:718, ALPHA:469, BETA:48, OMEGA:40","BUY 40 SIGMA @ 97.25，成交额 3,889.94，手续费 3.89",1,LowVolatilityAgent
2023-01-16,ContrarianAgent,56788.2795115,5352.939311500001,-43211.7204885,-0.43211720488500005,"{""ALPHA"": 23, ""BETA"": 69, ""DELTA"": 34, ""GAMMA"": 300, ""OMEGA"": 496, ""SIGMA"": 130}","OMEGA:496, GAMMA:300, SIGMA:130, BETA:69","SELL 17 SIGMA @ 97.25，成交额 1,653.22，手续费 1.65",4,"DrawdownBuyerAgent, LowVolatilityAgent, MeanReversionAgent, PersuaderAgent"
2023-01-16,SocialGraphAgent,55610.1744082,3129.1239082000056,-44389.8255918,-0.44389825591800003,"{""ALPHA"": 253, ""BETA"": 66, ""DELTA"": 42, ""GAMMA"": 461, ""OMEGA"": 105, ""SIGMA"": 105}","GAMMA:461, ALPHA:253, OMEGA:105, SIGMA:105","BUY 28 SIGMA @ 97.25，成交额 2,722.96，手续费 2.72",6,"CommitteeTeamAgent, DrawdownBuyerAgent, DynamicTeamAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent"
