date,manager,equity,daily_return
2021-01-04,equal_agent_portfolio,100000.0,0.0
2021-01-05,equal_agent_portfolio,100000.0,0.0
2021-01-06,equal_agent_portfolio,100000.0,0.0
2021-01-07,equal_agent_portfolio,100000.0,0.0
2021-01-08,equal_agent_portfolio,100000.0,0.0
2021-01-11,equal_agent_portfolio,100000.0,0.0
2021-01-12,equal_agent_portfolio,100000.0,0.0
2021-01-13,equal_agent_portfolio,100000.0,0.0
2021-01-14,equal_agent_portfolio,100000.0,0.0
2021-01-15,equal_agent_portfolio,100000.0,0.0
2021-01-18,equal_agent_portfolio,100000.0,0.0
2021-01-19,equal_agent_portfolio,100000.0,0.0
2021-01-20,equal_agent_portfolio,100000.0,0.0
2021-01-21,equal_agent_portfolio,100000.0,0.0
2021-01-22,equal_agent_portfolio,100000.0,0.0
2021-01-25,equal_agent_portfolio,100000.0,0.0
2021-01-26,equal_agent_portfolio,100000.0,0.0
2021-01-27,equal_agent_portfolio,100000.0,0.0
2021-01-28,equal_agent_portfolio,100000.0,0.0
2021-01-29,equal_agent_portfolio,100000.0,0.0
2021-02-01,equal_agent_portfolio,100000.0,0.0
2021-02-02,equal_agent_portfolio,100000.0,0.0
2021-02-03,equal_agent_portfolio,100000.0,0.0
2021-02-04,equal_agent_portfolio,100000.0,0.0
2021-02-05,equal_agent_portfolio,100000.0,0.0
2021-02-08,equal_agent_portfolio,100000.0,0.0
2021-02-09,equal_agent_portfolio,100000.0,0.0
2021-02-10,equal_agent_portfolio,100000.0,0.0
2021-02-18,equal_agent_portfolio,100000.0,0.0
2021-02-19,equal_agent_portfolio,100000.0,0.0
2021-02-22,equal_agent_portfolio,100000.0,0.0
2021-02-23,equal_agent_portfolio,100000.0,0.0
2021-02-24,equal_agent_portfolio,100000.0,0.0
2021-02-25,equal_agent_portfolio,100000.0,0.0
2021-02-26,equal_agent_portfolio,100000.0,0.0
2021-03-01,equal_agent_portfolio,100000.0,0.0
2021-03-02,equal_agent_portfolio,100000.0,0.0
2021-03-03,equal_agent_portfolio,100000.0,0.0
2021-03-04,equal_agent_portfolio,100000.0,0.0
2021-03-05,equal_agent_portfolio,100000.0,0.0
2021-03-08,equal_agent_portfolio,100000.0,0.0
2021-03-09,equal_agent_portfolio,100000.0,0.0
2021-03-10,equal_agent_portfolio,100000.0,0.0
2021-03-11,equal_agent_portfolio,100000.0,0.0
2021-03-12,equal_agent_portfolio,100000.0,0.0
2021-03-15,equal_agent_portfolio,100000.0,0.0
2021-03-16,equal_agent_portfolio,100000.0,0.0
2021-03-17,equal_agent_portfolio,100000.0,0.0
2021-03-18,equal_agent_portfolio,100000.0,0.0
2021-03-19,equal_agent_portfolio,100000.0,0.0
2021-03-22,equal_agent_portfolio,100000.0,0.0
2021-03-23,equal_agent_portfolio,100000.0,0.0
2021-03-24,equal_agent_portfolio,100000.0,0.0
2021-03-25,equal_agent_portfolio,100000.0,0.0
2021-03-26,equal_agent_portfolio,100000.0,0.0
2021-03-29,equal_agent_portfolio,100000.0,0.0
2021-03-30,equal_agent_portfolio,100000.0,0.0
2021-03-31,equal_agent_portfolio,100000.0,0.0
2021-04-01,equal_agent_portfolio,100000.0,0.0
2021-04-02,equal_agent_portfolio,100000.0,0.0
2021-04-06,equal_agent_portfolio,100000.0,0.0
2021-04-07,equal_agent_portfolio,100000.0,0.0
2021-04-08,equal_agent_portfolio,100000.0,0.0
2021-04-09,equal_agent_portfolio,100000.0,0.0
2021-04-12,equal_agent_portfolio,100000.0,0.0
2021-04-13,equal_agent_portfolio,100000.0,0.0
2021-04-14,equal_agent_portfolio,100000.0,0.0
2021-04-15,equal_agent_portfolio,100000.0,0.0
2021-04-16,equal_agent_portfolio,100000.0,0.0
2021-04-19,equal_agent_portfolio,100000.0,0.0
2021-04-20,equal_agent_portfolio,100000.0,0.0
2021-04-21,equal_agent_portfolio,100000.0,0.0
2021-04-22,equal_agent_portfolio,100000.0,0.0
2021-04-23,equal_agent_portfolio,100000.0,0.0
2021-04-26,equal_agent_portfolio,100000.0,0.0
2021-04-27,equal_agent_portfolio,100000.0,0.0
