date,agent,ticker,side,shares,price,fee,note,notional,cash_after,equity_after
2021-05-14,DrawdownBuyerAgent,000333,BUY,180,76.44,13.7592,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,13759.199999999999,77149.52235,99977.17235000001
2021-05-14,DrawdownBuyerAgent,000858,BUY,28,287.0,8.036,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,8036.0,69105.48634999999,99969.13634999999
2021-05-14,DrawdownBuyerAgent,002415,BUY,64,60.69,3.88416,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,3884.16,65217.442189999994,99965.25219
2021-05-14,DrawdownBuyerAgent,002594,BUY,139,153.53,21.340670000000003,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,21340.670000000002,43855.43151999999,99943.91152
2021-05-14,DrawdownBuyerAgent,300750,BUY,17,359.0,6.103,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,6103.0,37746.32851999999,99937.80851999999
2021-05-14,DrawdownBuyerAgent,600036,BUY,11,54.98,0.60478,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,604.78,37140.94373999999,99937.20373999998
2021-05-14,DrawdownBuyerAgent,600519,BUY,5,2009.85,10.04925,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,10049.25,27081.644489999988,99927.15448999999
2021-05-14,DrawdownBuyerAgent,601318,BUY,123,71.18,8.75514,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,8755.140000000001,18317.749349999987,99918.39934999998
2021-05-14,DrawdownBuyerAgent,601899,BUY,1043,11.06,11.53558,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,11535.58,6770.633769999988,99906.86376999998
2021-05-14,RandomAgent,000002,BUY,455,27.07,12.31685,RandomAgent: own strategy blended with communicated beliefs.,12316.85,87670.83315,99987.68315000001
2021-05-14,RandomAgent,000333,BUY,91,76.44,6.95604,RandomAgent: own strategy blended with communicated beliefs.,6956.04,80707.83711000001,99980.72711
2021-05-14,RandomAgent,000858,BUY,47,287.0,13.489,RandomAgent: own strategy blended with communicated beliefs.,13489.0,67205.34811,99967.23811
2021-05-14,RandomAgent,002415,BUY,183,60.69,11.10627,RandomAgent: own strategy blended with communicated beliefs.,11106.27,56087.971840000006,99956.13184000002
2021-05-14,RandomAgent,002594,BUY,9,153.53,1.38177,RandomAgent: own strategy blended with communicated beliefs.,1381.77,54704.82007000001,99954.75007000001
2021-05-14,RandomAgent,300750,BUY,43,359.0,15.437000000000001,RandomAgent: own strategy blended with communicated beliefs.,15437.0,39252.38307000001,99939.31307
2021-05-14,RandomAgent,600036,BUY,220,54.98,12.0956,RandomAgent: own strategy blended with communicated beliefs.,12095.599999999999,27144.68747000001,99927.21747
2021-05-14,RandomAgent,600519,BUY,6,2009.85,12.059099999999999,RandomAgent: own strategy blended with communicated beliefs.,12059.099999999999,15073.528370000013,99915.15837000002
2021-05-14,RandomAgent,601318,BUY,28,71.18,1.9930400000000001,RandomAgent: own strategy blended with communicated beliefs.,1993.0400000000002,13078.495330000012,99913.16533000002
2021-05-14,RandomAgent,601899,BUY,648,11.06,7.16688,RandomAgent: own strategy blended with communicated beliefs.,7166.88,5904.448450000013,99905.99845000001
2021-05-14,CommitteeTeamAgent,000002,BUY,172,27.07,4.65604,CommitteeTeamAgent: own strategy blended with communicated beliefs.,4656.04,95339.30396,99995.34396
2021-05-14,CommitteeTeamAgent,000333,BUY,83,76.44,6.344519999999999,CommitteeTeamAgent: own strategy blended with communicated beliefs.,6344.5199999999995,88988.43944,99988.99944
2021-05-14,CommitteeTeamAgent,000858,BUY,12,287.0,3.444,CommitteeTeamAgent: own strategy blended with communicated beliefs.,3444.0,85540.99544,99985.55544
2021-05-14,CommitteeTeamAgent,002415,BUY,225,60.69,13.65525,CommitteeTeamAgent: own strategy blended with communicated beliefs.,13655.25,71872.09019,99971.90019
2021-05-14,CommitteeTeamAgent,002594,BUY,116,153.53,17.80948,CommitteeTeamAgent: own strategy blended with communicated beliefs.,17809.48,54044.80071,99954.09070999999
2021-05-14,CommitteeTeamAgent,300750,BUY,21,359.0,7.539000000000001,CommitteeTeamAgent: own strategy blended with communicated beliefs.,7539.0,46498.261710000006,99946.55171
2021-05-14,CommitteeTeamAgent,600036,BUY,65,54.98,3.5737,CommitteeTeamAgent: own strategy blended with communicated beliefs.,3573.7,42920.98801000001,99942.97800999999
2021-05-14,CommitteeTeamAgent,600519,BUY,1,2009.85,2.00985,CommitteeTeamAgent: own strategy blended with communicated beliefs.,2009.85,40909.12816000001,99940.96815999999
2021-05-14,CommitteeTeamAgent,601318,BUY,24,71.18,1.7083200000000003,CommitteeTeamAgent: own strategy blended with communicated beliefs.,1708.3200000000002,39199.09984000001,99939.25984
