experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
single_agent,CommitteeTeamAgent,-0.13248293539999956,-0.029141089064259496,0.20224542273549412,-0.14408775570842736,-0.4466311622646172,1211,0.8344856726194684,,0.11848351139999969
single_agent,ContrarianAgent,-0.40097571980000035,-0.10114868644137465,0.22635170876673474,-0.4468651329935961,-0.446296972555011,1211,0.8344856726194684,,0.3869762958000005
single_agent,DrawdownBuyerAgent,-0.35600848470000046,-0.0875073090789269,0.22046009393572338,-0.3969303809896781,-0.4263287802407495,1211,0.8344856726194684,,0.3420090607000006
single_agent,DynamicTeamAgent,-0.14239764469999994,-0.03146055936252645,0.20165897094456822,-0.15600872708595886,-0.4510021013606931,1211,0.8344856726194684,,0.12839822070000007
single_agent,FreeRiderAgent,-0.13745335559999916,-0.030301241627256115,0.21116546459101598,-0.14349525234130203,-0.5183410718828403,1211,0.8344856726194684,,0.12345393159999929
single_agent,LowVolatilityAgent,-0.09634909789999957,-0.020861621738848313,0.20958781980107574,-0.09953642229137419,-0.508095585838557,1211,0.8344856726194684,,0.0823496738999997
single_agent,MeanReversionAgent,-0.20777379179999933,-0.04731071703616907,0.18962938492483797,-0.24949043132171356,-0.42799559522121033,1211,0.8344856726194684,,0.19377436779999946
single_agent,MomentumAgent,-0.013999423999999872,-0.002929459390020317,0.21646246810026062,-0.01353333635955521,-0.46943037715678093,1211,0.8344856726194684,,0.0
single_agent,PersuaderAgent,-0.28091505590000043,-0.06632219522273619,0.19188240336813123,-0.3456397984316227,-0.4712502045847784,1211,0.8344856726194684,,0.26691563190000056
single_agent,RandomAgent,-0.23958989239999995,-0.0554021387917345,0.18513737913937606,-0.2992488013456558,-0.4141465296980722,1211,0.8344856726194684,,0.22559046840000008
single_agent,SocialGraphAgent,-0.12996275100000043,-0.0285548593401026,0.20273218373923652,-0.14085015419570077,-0.46090540507228095,1211,0.8344856726194684,,0.11596332700000056
single_agent,TruthfulReporterAgent,-0.027604910900001278,-0.0058082177223373055,0.21773967441820383,-0.02667505468563205,-0.4513371114190159,1211,0.8344856726194684,,0.013605486900001407
agent_portfolio,correlation_aware_agent_portfolio,-0.1657194394633288,-0.03700142526900685,0.19251302946075144,-0.19220218689951324,-0.4341760385683697,1211,0.8344856726194684,0.08666202859524713,0.15172001546332892
agent_portfolio,drawdown_constrained_agent_portfolio,-0.2486962788710052,-0.05776735477108119,0.19250122463104502,-0.3000882455776593,-0.43873730381574794,1211,0.8344856726194684,0.12559999276992173,0.23469685487100533
agent_portfolio,equal_agent_portfolio,-0.17559542111842763,-0.03938481740917643,0.18962746772955105,-0.2076957409216028,-0.4233148963947956,1211,0.8344856726194684,0.08333333333333334,0.16159599711842776
agent_portfolio,hedge_agent_portfolio,-0.375377655724106,-0.09328762963560089,0.20362053752198997,-0.4581445013891406,-0.44429484336692737,1211,0.8344856726194684,0.48268483009292373,0.3613782317241061
