ticker,posterior_return,weight,view_count,avg_confidence
2,0.00010000207895746079,0.1877636809445958,839,0.5915971394517283
2415,3.2470793802190896e-05,0.060967090195053066,251,0.5969322709163347
2594,3.771395595420741e-05,0.07081163978557498,95,0.6003157894736842
300750,1.4388622447909198e-05,0.027016045493321324,106,0.5894339622641509
333,0.00014965436151972162,0.2809906962065192,301,0.5998338870431894
600036,0.00010333782209717074,0.19402686484164314,271,0.5783394833948339
600519,6.239794949335889e-06,0.011715825113247758,15,0.5946666666666667
601318,1.4246407507275712e-05,0.026749023037217993,157,0.5926114649681529
601899,4.8673865459248734e-05,0.09138994148629867,194,0.6143298969072165
858,2.5867730321988762e-05,0.04856919289652808,87,0.6106896551724138
