ticker,posterior_return,weight,view_count,avg_confidence
2,0.00022380730205139265,0.33279240242595115,547,0.5802376599634369
2415,7.579602784873497e-06,0.011270562654087385,112,0.6169642857142856
2594,0.00010634455689885961,0.15813005317926593,222,0.5616666666666666
300750,1.7357084799103594e-05,0.025809282791310516,142,0.5876760563380282
333,3.938372683164456e-05,0.058562008248420463,41,0.556829268292683
600036,0.00010587724354363321,0.157435177128547,485,0.5602061855670103
600519,6.848147535704462e-06,0.010182918294824527,13,0.5846153846153845
601318,6.12438854135666e-05,0.0910671795507383,169,0.5654437869822485
601899,3.395254829209011e-05,0.05048606551725993,329,0.6062917933130699
858,7.01191576203222e-05,0.10426435020959479,85,0.5712941176470588
