date,manager,equity,daily_return
2021-01-04,equal_agent_portfolio,100000.0,0.0
2021-01-05,equal_agent_portfolio,100017.16666666667,0.0001716666666666626
2021-01-06,equal_agent_portfolio,100165.1252210342,0.00147933159175212
2021-01-07,equal_agent_portfolio,100406.49774124309,0.002409746103509173
2021-01-08,equal_agent_portfolio,100193.3290835661,-0.002123056400456782
2021-01-11,equal_agent_portfolio,99795.83443068006,-0.003967276629310503
2021-01-12,equal_agent_portfolio,100229.02539401739,0.004340771995230161
2021-01-13,equal_agent_portfolio,99626.88460997056,-0.006007648799134976
2021-01-14,equal_agent_portfolio,99048.71678953998,-0.005803331326619819
2021-01-15,equal_agent_portfolio,99410.38818524162,0.003651449583846056
2021-01-18,equal_agent_portfolio,99489.73990841936,0.0007982236527422174
2021-01-19,equal_agent_portfolio,98857.2518973304,-0.00635731897250082
2021-01-20,equal_agent_portfolio,99714.33006587804,0.008669856303893293
2021-01-21,equal_agent_portfolio,99991.25259876288,0.0027771588366676814
2021-01-22,equal_agent_portfolio,100459.28554864762,0.004680738941863438
2021-01-25,equal_agent_portfolio,100550.92577748868,0.0009122126276388162
2021-01-26,equal_agent_portfolio,100050.21957035888,-0.004979628016929683
2021-01-27,equal_agent_portfolio,99979.2862257394,-0.0007089774007900765
2021-01-28,equal_agent_portfolio,99046.44728783674,-0.009330322040872085
2021-01-29,equal_agent_portfolio,98766.08337863635,-0.002830630647312538
2021-02-01,equal_agent_portfolio,98747.13759428884,-0.0001918248015858048
2021-02-02,equal_agent_portfolio,100031.2511619267,0.013004058638274169
2021-02-03,equal_agent_portfolio,100391.96703318165,0.00360603178571689
2021-02-04,equal_agent_portfolio,100600.59795700315,0.0020781635223119286
2021-02-05,equal_agent_portfolio,100196.8558759172,-0.004013316911480991
2021-02-08,equal_agent_portfolio,100832.31827324007,0.0063421390997519065
2021-02-09,equal_agent_portfolio,101333.46813630644,0.004970131319487647
2021-02-10,equal_agent_portfolio,101903.4203839364,0.005624521277247652
2021-02-18,equal_agent_portfolio,101328.16685545407,-0.005645085575292603
2021-02-19,equal_agent_portfolio,101316.93317104029,-0.00011086438018560281
2021-02-22,equal_agent_portfolio,100061.03737975143,-0.012395714635071876
2021-02-23,equal_agent_portfolio,99765.70899625818,-0.002951482327455984
2021-02-24,equal_agent_portfolio,98577.38928543376,-0.011911103752783278
2021-02-25,equal_agent_portfolio,98458.65833784756,-0.0012044440256215128
2021-02-26,equal_agent_portfolio,97712.94496713129,-0.007573872966635947
2021-03-01,equal_agent_portfolio,98540.87157059328,0.008473049335893962
2021-03-02,equal_agent_portfolio,98430.26983350786,-0.0011223945488058975
2021-03-03,equal_agent_portfolio,98604.77997309515,0.001772931638635918
2021-03-04,equal_agent_portfolio,97633.47835396812,-0.009850451665650009
2021-03-05,equal_agent_portfolio,97451.80518697582,-0.0018607671267600043
2021-03-08,equal_agent_portfolio,96463.1583855062,-0.010144981917705315
2021-03-09,equal_agent_portfolio,96196.14880125101,-0.002767995457790356
2021-03-10,equal_agent_portfolio,96756.88365694592,0.005829078010736603
2021-03-11,equal_agent_portfolio,97492.76231438172,0.007605439836661823
2021-03-12,equal_agent_portfolio,97661.80800932889,0.0017339307137697788
2021-03-15,equal_agent_portfolio,96767.17580011972,-0.009160512460753526
2021-03-16,equal_agent_portfolio,97284.41502082632,0.005345192896556234
2021-03-17,equal_agent_portfolio,97485.4555895084,0.0020665238994245776
2021-03-18,equal_agent_portfolio,97714.14168345183,0.0023458483376881394
2021-03-19,equal_agent_portfolio,96998.39652431439,-0.007324888156477064
2021-01-04,hedge_agent_portfolio,100000.0,0.0
2021-01-05,hedge_agent_portfolio,100017.16666666667,0.0001716666666666626
2021-01-06,hedge_agent_portfolio,100164.54886297164,0.0014735690003712942
2021-01-07,hedge_agent_portfolio,100407.26034128903,0.0024231275543350143
2021-01-08,hedge_agent_portfolio,100188.85994787236,-0.002175145429467114
2021-01-11,hedge_agent_portfolio,99796.26793165016,-0.003918519648057286
2021-01-12,hedge_agent_portfolio,100212.91564692583,0.004174982931836923
2021-01-13,hedge_agent_portfolio,99629.19535092049,-0.0058248010472214526
2021-01-14,hedge_agent_portfolio,99074.89141505201,-0.005563669704608901
2021-01-15,hedge_agent_portfolio,99400.85309815116,0.003290053397420306
2021-01-18,hedge_agent_portfolio,99471.23944018384,0.0007081060155809335
2021-01-19,hedge_agent_portfolio,98911.82573848791,-0.0056238738437789666
2021-01-20,hedge_agent_portfolio,99614.73750987375,0.007106448254673529
2021-01-21,hedge_agent_portfolio,99859.91830489114,0.0024612903787763827
2021-01-22,hedge_agent_portfolio,100239.32314231402,0.0037993705969645757
2021-01-25,hedge_agent_portfolio,100327.02885794744,0.0008749631669887652
2021-01-26,hedge_agent_portfolio,99910.89605527061,-0.004147763642697299
2021-01-27,hedge_agent_portfolio,99851.26299812815,-0.0005968623993671242
2021-01-28,hedge_agent_portfolio,99137.32092169912,-0.007150055542536342
2021-01-29,hedge_agent_portfolio,98955.44899789903,-0.0018345454780217818
2021-02-01,hedge_agent_portfolio,98964.67877301635,9.327202504553369e-05
2021-02-02,hedge_agent_portfolio,99826.04186468855,0.00870374261152107
2021-02-03,hedge_agent_portfolio,100024.8541530632,0.0019915874120716506
2021-02-04,hedge_agent_portfolio,100129.92077723824,0.0010504051724409982
2021-02-05,hedge_agent_portfolio,99849.49004856162,-0.002800668636305972
2021-02-08,hedge_agent_portfolio,100255.35251710552,0.004064742527443181
2021-02-09,hedge_agent_portfolio,100578.05115065075,0.003218767132559339
2021-02-10,hedge_agent_portfolio,100937.88814636187,0.003577689084193355
2021-02-18,hedge_agent_portfolio,100586.91686593779,-0.0034771014816078125
2021-02-19,hedge_agent_portfolio,100562.057266804,-0.00024714545299095003
2021-02-22,hedge_agent_portfolio,99866.8439835917,-0.0069132762605264835
2021-02-23,hedge_agent_portfolio,99734.50651119046,-0.0013251392266184308
2021-02-24,hedge_agent_portfolio,99214.15985746596,-0.005217318177296067
2021-02-25,hedge_agent_portfolio,99205.71804468617,-8.508677382258995e-05
2021-02-26,hedge_agent_portfolio,98899.17623235741,-0.0030899611269452404
2021-03-01,hedge_agent_portfolio,99170.61014574947,0.0027445518125887225
2021-03-02,hedge_agent_portfolio,99130.9981477279,-0.000399432835628868
2021-03-03,hedge_agent_portfolio,99233.56506078018,0.0010346603481126487
2021-03-04,hedge_agent_portfolio,98869.56615551338,-0.0036681026731615438
2021-03-05,hedge_agent_portfolio,98778.74338024862,-0.000918612054207969
