date,manager,equity,daily_return
2021-01-04,equal_agent_portfolio,100000.0,0.0
2021-01-05,equal_agent_portfolio,100201.205,0.0020120499999999875
2021-01-06,equal_agent_portfolio,100179.50816947286,-0.00021653263079169735
2021-01-07,equal_agent_portfolio,100400.5339602929,0.0022062974240812014
2021-01-08,equal_agent_portfolio,100420.39014565556,0.00019776971873994295
2021-01-11,equal_agent_portfolio,100636.19650091245,0.0021490292453939614
2021-01-12,equal_agent_portfolio,100902.46821077062,0.002645884076667715
2021-01-13,equal_agent_portfolio,100665.35121162864,-0.002349962328440453
2021-01-14,equal_agent_portfolio,99599.82196754942,-0.010584865907229273
2021-01-15,equal_agent_portfolio,99764.6448610123,0.0016548512859448454
2021-01-18,equal_agent_portfolio,99702.64605073933,-0.0006214507189329088
2021-01-19,equal_agent_portfolio,99129.24931679953,-0.005751068368315969
2021-01-20,equal_agent_portfolio,99864.58217429591,0.007417920165484092
2021-01-21,equal_agent_portfolio,100877.76375641169,0.010145554710752716
2021-01-22,equal_agent_portfolio,101176.6142819311,0.002962501490824461
2021-01-25,equal_agent_portfolio,102318.36813510935,0.01128476042889446
2021-01-26,equal_agent_portfolio,101656.63128080124,-0.006467429713444087
2021-01-27,equal_agent_portfolio,101348.2007095524,-0.003034042810221404
2021-01-28,equal_agent_portfolio,100664.6940509782,-0.006744142015239364
2021-01-29,equal_agent_portfolio,100526.3169843977,-0.0013746335583201448
2021-02-01,equal_agent_portfolio,100596.14335454056,0.0006946078622745154
2021-02-02,equal_agent_portfolio,101341.66735457223,0.007411059461833855
2021-02-03,equal_agent_portfolio,101501.16705756502,0.0015738807852325267
2021-02-04,equal_agent_portfolio,101774.34765154244,0.0026914034773856117
2021-02-05,equal_agent_portfolio,101658.05914147214,-0.0011426112056100075
2021-02-08,equal_agent_portfolio,102030.36570802135,0.003662341871302969
2021-02-09,equal_agent_portfolio,102501.72185689934,0.004619763396976025
2021-02-10,equal_agent_portfolio,103046.37542027947,0.005313604040139974
2021-02-18,equal_agent_portfolio,102704.36593896091,-0.003318986038311933
2021-02-19,equal_agent_portfolio,103156.52814861195,0.004402560743325762
2021-02-22,equal_agent_portfolio,101516.27234001226,-0.015900649605390543
2021-02-23,equal_agent_portfolio,101707.1464854641,0.0018802320165235606
2021-02-24,equal_agent_portfolio,100316.2883485329,-0.013675126920702487
2021-02-25,equal_agent_portfolio,100227.95634846944,-0.0008805349711162219
2021-02-26,equal_agent_portfolio,99391.99922327715,-0.008340558419507888
2021-03-01,equal_agent_portfolio,100085.96441447949,0.006982103153427769
2021-03-02,equal_agent_portfolio,99878.7213097728,-0.00207065102403813
2021-03-03,equal_agent_portfolio,100219.1524944656,0.0034084455650663834
2021-03-04,equal_agent_portfolio,98711.16055943137,-0.01504694359810607
2021-03-05,equal_agent_portfolio,98343.38115664524,-0.0037258137854099724
2021-03-08,equal_agent_portfolio,96590.73464565603,-0.01782170279662761
2021-03-09,equal_agent_portfolio,95909.46943937469,-0.007053111344277163
2021-03-10,equal_agent_portfolio,96792.02920631625,0.009202008645240548
2021-03-11,equal_agent_portfolio,98200.37670550386,0.014550242522405164
2021-03-12,equal_agent_portfolio,98391.28738889554,0.0019440931877909757
2021-03-15,equal_agent_portfolio,96956.66565281912,-0.014580780210812827
2021-03-16,equal_agent_portfolio,97743.23460030636,0.008112582484052923
2021-03-17,equal_agent_portfolio,97888.20481262836,0.001483173878118776
2021-03-18,equal_agent_portfolio,98299.27429747375,0.004199377091777682
2021-03-19,equal_agent_portfolio,96956.48974278335,-0.013660167527044555
2021-01-04,hedge_agent_portfolio,100000.0,0.0
2021-01-05,hedge_agent_portfolio,100201.205,0.0020120499999999875
2021-01-06,hedge_agent_portfolio,100178.14833855628,-0.00023010363441962702
2021-01-07,hedge_agent_portfolio,100399.92305170698,0.0022138032777487323
2021-01-08,hedge_agent_portfolio,100420.41477816696,0.00020410101758162514
2021-01-11,hedge_agent_portfolio,100639.61526297647,0.002182827916950259
2021-01-12,hedge_agent_portfolio,100906.6498564696,0.0026533745463489205
2021-01-13,hedge_agent_portfolio,100669.88115580607,-0.0023464132542335993
2021-01-14,hedge_agent_portfolio,99619.8454267666,-0.010430485434013119
2021-01-15,hedge_agent_portfolio,99775.50944515588,0.0015625804047619857
2021-01-18,hedge_agent_portfolio,99730.3802696342,-0.0004523071420294327
2021-01-19,hedge_agent_portfolio,99226.8996228632,-0.005048417998705808
2021-01-20,hedge_agent_portfolio,99830.02168635766,0.00607821130950145
2021-01-21,hedge_agent_portfolio,100674.9499860512,0.008463669399452778
2021-01-22,hedge_agent_portfolio,100924.46376376656,0.0024784097508857208
2021-01-25,hedge_agent_portfolio,101847.65189794671,0.009147317704268933
2021-01-26,hedge_agent_portfolio,101318.81293812132,-0.005192451175558704
2021-01-27,hedge_agent_portfolio,101125.86740613403,-0.0019043406292682447
