ticker,posterior_return,weight,view_count,avg_confidence
2,0.0001395405509690334,0.2548856222561876,776,0.5784664948453608
2415,7.194884017348372e-06,0.013142219068849086,403,0.583697270471464
2594,5.84046848692743e-05,0.10668235392653075,127,0.5837007874015747
300750,5.988067089340823e-06,0.010937839900869687,170,0.5718235294117646
333,2.8186107016087104e-05,0.05148491514390802,30,0.5576666666666666
600036,8.071152277272345e-05,0.14742816021799585,175,0.5858285714285714
600519,1.3810501990030493e-05,0.02522634724425313,19,0.6142105263157894
601318,8.210934848617108e-05,0.14998143719951548,188,0.573031914893617
601899,5.432625113668454e-05,0.09923266197288168,175,0.5954285714285714
858,7.719148792100111e-05,0.14099844306900866,334,0.5882035928143713
