source,target,weight,kind
TruthfulReporterAgent,MeanReversionAgent,1.0,friendship
MomentumAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,MomentumAgent,1.0,friendship
MomentumAgent,RandomAgent,1.0,friendship
RandomAgent,MomentumAgent,1.0,friendship
MomentumAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,MomentumAgent,1.0,friendship
MomentumAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,MomentumAgent,1.0,friendship
PersuaderAgent,RandomAgent,1.0,friendship
RandomAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,PersuaderAgent,1.0,friendship
PersuaderAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,PersuaderAgent,1.0,friendship
RandomAgent,SocialGraphAgent,1.0,friendship
SocialGraphAgent,RandomAgent,1.0,friendship
RandomAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,RandomAgent,1.0,friendship
SocialGraphAgent,TruthfulReporterAgent,1.0,friendship
TruthfulReporterAgent,SocialGraphAgent,1.0,friendship
CommitteeTeamAgent,LowVolatilityAgent,5.0,influence
ContrarianAgent,SocialGraphAgent,5.0,influence
DynamicTeamAgent,SocialGraphAgent,5.0,influence
SocialGraphAgent,CommitteeTeamAgent,5.0,influence
TruthfulReporterAgent,DynamicTeamAgent,5.0,influence
MomentumAgent,MeanReversionAgent,5.0,influence
MomentumAgent,LowVolatilityAgent,5.0,influence
MomentumAgent,DrawdownBuyerAgent,5.0,influence
MomentumAgent,RandomAgent,5.0,influence
MomentumAgent,TruthfulReporterAgent,5.0,influence
MomentumAgent,PersuaderAgent,5.0,influence
MomentumAgent,FreeRiderAgent,5.0,influence
MomentumAgent,ContrarianAgent,5.0,influence
MomentumAgent,CommitteeTeamAgent,5.0,influence
MomentumAgent,DynamicTeamAgent,5.0,influence
MomentumAgent,SocialGraphAgent,5.0,influence
MeanReversionAgent,MomentumAgent,5.0,influence
MeanReversionAgent,LowVolatilityAgent,5.0,influence
MeanReversionAgent,DrawdownBuyerAgent,5.0,influence
MeanReversionAgent,RandomAgent,5.0,influence
MeanReversionAgent,TruthfulReporterAgent,5.0,influence
MeanReversionAgent,PersuaderAgent,5.0,influence
MeanReversionAgent,FreeRiderAgent,5.0,influence
MeanReversionAgent,ContrarianAgent,5.0,influence
MeanReversionAgent,CommitteeTeamAgent,5.0,influence
MeanReversionAgent,DynamicTeamAgent,5.0,influence
MeanReversionAgent,SocialGraphAgent,5.0,influence
LowVolatilityAgent,MomentumAgent,5.0,influence
LowVolatilityAgent,MeanReversionAgent,5.0,influence
LowVolatilityAgent,DrawdownBuyerAgent,5.0,influence
LowVolatilityAgent,RandomAgent,5.0,influence
LowVolatilityAgent,TruthfulReporterAgent,5.0,influence
LowVolatilityAgent,PersuaderAgent,5.0,influence
LowVolatilityAgent,FreeRiderAgent,5.0,influence
LowVolatilityAgent,ContrarianAgent,5.0,influence
LowVolatilityAgent,CommitteeTeamAgent,5.0,influence
LowVolatilityAgent,DynamicTeamAgent,5.0,influence
LowVolatilityAgent,SocialGraphAgent,5.0,influence
DrawdownBuyerAgent,MomentumAgent,5.0,influence
DrawdownBuyerAgent,MeanReversionAgent,5.0,influence
DrawdownBuyerAgent,LowVolatilityAgent,5.0,influence
DrawdownBuyerAgent,RandomAgent,5.0,influence
DrawdownBuyerAgent,TruthfulReporterAgent,5.0,influence
DrawdownBuyerAgent,PersuaderAgent,5.0,influence
DrawdownBuyerAgent,FreeRiderAgent,5.0,influence
DrawdownBuyerAgent,ContrarianAgent,5.0,influence
DrawdownBuyerAgent,CommitteeTeamAgent,5.0,influence
DrawdownBuyerAgent,DynamicTeamAgent,5.0,influence
DrawdownBuyerAgent,SocialGraphAgent,5.0,influence
RandomAgent,MomentumAgent,5.0,influence
RandomAgent,MeanReversionAgent,5.0,influence
RandomAgent,LowVolatilityAgent,5.0,influence
RandomAgent,DrawdownBuyerAgent,5.0,influence
RandomAgent,TruthfulReporterAgent,5.0,influence
RandomAgent,PersuaderAgent,5.0,influence
RandomAgent,FreeRiderAgent,5.0,influence
RandomAgent,ContrarianAgent,5.0,influence
RandomAgent,CommitteeTeamAgent,5.0,influence
RandomAgent,DynamicTeamAgent,5.0,influence
RandomAgent,SocialGraphAgent,5.0,influence
TruthfulReporterAgent,MomentumAgent,5.0,influence
TruthfulReporterAgent,MeanReversionAgent,5.0,influence
TruthfulReporterAgent,LowVolatilityAgent,5.0,influence
TruthfulReporterAgent,DrawdownBuyerAgent,5.0,influence
TruthfulReporterAgent,RandomAgent,5.0,influence
TruthfulReporterAgent,PersuaderAgent,5.0,influence
TruthfulReporterAgent,FreeRiderAgent,5.0,influence
TruthfulReporterAgent,ContrarianAgent,5.0,influence
TruthfulReporterAgent,CommitteeTeamAgent,5.0,influence
TruthfulReporterAgent,SocialGraphAgent,5.0,influence
PersuaderAgent,MomentumAgent,5.0,influence
PersuaderAgent,MeanReversionAgent,5.0,influence
PersuaderAgent,LowVolatilityAgent,5.0,influence
PersuaderAgent,DrawdownBuyerAgent,5.0,influence
PersuaderAgent,RandomAgent,5.0,influence
PersuaderAgent,TruthfulReporterAgent,5.0,influence
PersuaderAgent,FreeRiderAgent,5.0,influence
PersuaderAgent,ContrarianAgent,5.0,influence
PersuaderAgent,CommitteeTeamAgent,5.0,influence
PersuaderAgent,DynamicTeamAgent,5.0,influence
PersuaderAgent,SocialGraphAgent,5.0,influence
FreeRiderAgent,MomentumAgent,5.0,influence
FreeRiderAgent,MeanReversionAgent,5.0,influence
FreeRiderAgent,LowVolatilityAgent,5.0,influence
FreeRiderAgent,DrawdownBuyerAgent,5.0,influence
FreeRiderAgent,RandomAgent,5.0,influence
FreeRiderAgent,TruthfulReporterAgent,5.0,influence
FreeRiderAgent,PersuaderAgent,5.0,influence
FreeRiderAgent,ContrarianAgent,5.0,influence
FreeRiderAgent,CommitteeTeamAgent,5.0,influence
FreeRiderAgent,DynamicTeamAgent,5.0,influence
FreeRiderAgent,SocialGraphAgent,5.0,influence
ContrarianAgent,MomentumAgent,5.0,influence
ContrarianAgent,MeanReversionAgent,5.0,influence
ContrarianAgent,LowVolatilityAgent,5.0,influence
ContrarianAgent,DrawdownBuyerAgent,5.0,influence
ContrarianAgent,RandomAgent,5.0,influence
ContrarianAgent,TruthfulReporterAgent,5.0,influence
ContrarianAgent,PersuaderAgent,5.0,influence
ContrarianAgent,FreeRiderAgent,5.0,influence
ContrarianAgent,CommitteeTeamAgent,5.0,influence
ContrarianAgent,DynamicTeamAgent,5.0,influence
CommitteeTeamAgent,MomentumAgent,5.0,influence
CommitteeTeamAgent,MeanReversionAgent,5.0,influence
CommitteeTeamAgent,DrawdownBuyerAgent,5.0,influence
CommitteeTeamAgent,RandomAgent,5.0,influence
CommitteeTeamAgent,TruthfulReporterAgent,5.0,influence
CommitteeTeamAgent,PersuaderAgent,5.0,influence
CommitteeTeamAgent,FreeRiderAgent,5.0,influence
CommitteeTeamAgent,ContrarianAgent,5.0,influence
CommitteeTeamAgent,DynamicTeamAgent,5.0,influence
CommitteeTeamAgent,SocialGraphAgent,5.0,influence
DynamicTeamAgent,MomentumAgent,5.0,influence
DynamicTeamAgent,MeanReversionAgent,5.0,influence
DynamicTeamAgent,LowVolatilityAgent,5.0,influence
DynamicTeamAgent,DrawdownBuyerAgent,5.0,influence
DynamicTeamAgent,RandomAgent,5.0,influence
DynamicTeamAgent,TruthfulReporterAgent,5.0,influence
DynamicTeamAgent,PersuaderAgent,5.0,influence
DynamicTeamAgent,FreeRiderAgent,5.0,influence
DynamicTeamAgent,ContrarianAgent,5.0,influence
DynamicTeamAgent,CommitteeTeamAgent,5.0,influence
SocialGraphAgent,MomentumAgent,5.0,influence
SocialGraphAgent,MeanReversionAgent,5.0,influence
SocialGraphAgent,LowVolatilityAgent,5.0,influence
SocialGraphAgent,DrawdownBuyerAgent,5.0,influence
SocialGraphAgent,RandomAgent,5.0,influence
SocialGraphAgent,TruthfulReporterAgent,5.0,influence
SocialGraphAgent,PersuaderAgent,5.0,influence
SocialGraphAgent,FreeRiderAgent,5.0,influence
SocialGraphAgent,ContrarianAgent,5.0,influence
SocialGraphAgent,DynamicTeamAgent,5.0,influence
