date,agent,equity,cash,pnl,pnl_pct
2021-01-04,MomentumAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0,0.0,0.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-04,RandomAgent,100000.0,100000.0,0.0,0.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0,0.0,0.0
2021-01-04,PersuaderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,FreeRiderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-04,CommitteeTeamAgent,100000.0,100000.0,0.0,0.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0,0.0,0.0
2021-01-04,SocialGraphAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MomentumAgent,100000.0,59590.0,0.0,0.0
2021-01-04,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-04,LowVolatilityAgent,100000.0,95683.0,0.0,0.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-04,RandomAgent,100000.0,98996.0,0.0,0.0
2021-01-04,TruthfulReporterAgent,100000.0,98996.0,0.0,0.0
2021-01-04,PersuaderAgent,100000.0,90099.0,0.0,0.0
2021-01-04,FreeRiderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-04,CommitteeTeamAgent,100000.0,97222.0,0.0,0.0
2021-01-04,DynamicTeamAgent,100000.0,99595.9,0.0,0.0
2021-01-04,SocialGraphAgent,100000.0,97222.0,0.0,0.0
2021-01-05,MomentumAgent,99790.0,59590.0,-210.0,-0.0021
2021-01-05,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-05,LowVolatilityAgent,99901.0,85529.0,-99.0,-0.00099
2021-01-05,DrawdownBuyerAgent,100000.0,99598.0,0.0,0.0
2021-01-05,RandomAgent,100017.0,100017.0,17.0,0.00017
2021-01-05,TruthfulReporterAgent,100017.0,98996.0,17.0,0.00017
2021-01-05,PersuaderAgent,100253.0,79945.0,253.0,0.00253
2021-01-05,FreeRiderAgent,100000.0,100000.0,0.0,0.0
2021-01-05,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-05,CommitteeTeamAgent,100013.0,87068.0,13.0,0.00013
2021-01-05,DynamicTeamAgent,99997.9,99193.9,-2.1,-2.1000000000000002e-05
2021-01-05,SocialGraphAgent,100013.0,94431.0,13.0,0.00013
2021-01-06,MomentumAgent,100267.0,59590.0,267.0,0.00267
2021-01-06,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-06,LowVolatilityAgent,100040.0,85529.0,40.0,0.0004
2021-01-06,DrawdownBuyerAgent,100004.77,99598.0,4.77,4.7699999999999994e-05
2021-01-06,RandomAgent,100017.0,94475.0,17.0,0.00017
2021-01-06,TruthfulReporterAgent,100046.0,98996.0,46.0,0.00046
2021-01-06,PersuaderAgent,100137.0,77070.0,137.0,0.00137
2021-01-06,FreeRiderAgent,100000.0,100000.0,0.0,0.0
2021-01-06,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-06,CommitteeTeamAgent,100039.0,87068.0,39.0,0.00039
2021-01-06,DynamicTeamAgent,100007.44,99193.9,7.44,7.44e-05
2021-01-06,SocialGraphAgent,100181.0,84335.0,181.0,0.00181
2021-01-07,MomentumAgent,100913.0,59590.0,913.0,0.00913
2021-01-07,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-07,LowVolatilityAgent,100601.0,82650.0,601.0,0.00601
2021-01-07,DrawdownBuyerAgent,100011.23,99598.0,11.23,0.0001123
2021-01-07,RandomAgent,100304.0,93357.0,304.0,0.00304
2021-01-07,TruthfulReporterAgent,100114.0,100114.0,114.0,0.00114
2021-01-07,PersuaderAgent,100913.0,75952.0,913.0,0.00913
2021-01-07,FreeRiderAgent,100000.0,99712.1,0.0,0.0
2021-01-07,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-07,CommitteeTeamAgent,100429.0,87068.0,429.0,0.00429
2021-01-07,DynamicTeamAgent,100020.36,99193.9,20.36,0.0002036
2021-01-07,SocialGraphAgent,100575.0,84335.0,575.0,0.00575
2021-01-08,MomentumAgent,100040.0,58455.0,40.0,0.0004
2021-01-08,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-08,LowVolatilityAgent,100545.0,82650.0,545.0,0.00545
2021-01-08,DrawdownBuyerAgent,100002.5,99598.0,2.5,2.5e-05
2021-01-08,RandomAgent,100226.0,90423.0,226.0,0.00226
2021-01-08,TruthfulReporterAgent,100114.0,100114.0,114.0,0.00114
2021-01-08,PersuaderAgent,100623.0,75952.0,623.0,0.00623
2021-01-08,FreeRiderAgent,100005.5,99712.1,5.5,5.5e-05
2021-01-08,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-08,CommitteeTeamAgent,100303.0,87068.0,303.0,0.00303
2021-01-08,DynamicTeamAgent,100002.9,99193.9,2.9,2.9e-05
2021-01-08,SocialGraphAgent,100504.0,83200.0,504.0,0.00504
2021-01-11,MomentumAgent,98522.0,52555.0,-1478.0,-0.01478
2021-01-11,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-11,LowVolatilityAgent,100570.0,82650.0,570.0,0.0057
2021-01-11,DrawdownBuyerAgent,99988.0,99598.0,-12.0,-0.00012
2021-01-11,RandomAgent,100368.0,93373.0,368.0,0.00368
2021-01-11,TruthfulReporterAgent,100114.0,94214.0,114.0,0.00114
2021-01-11,PersuaderAgent,100197.0,75952.0,197.0,0.00197
2021-01-11,FreeRiderAgent,100009.9,99712.1,9.9,9.900000000000001e-05
2021-01-11,ContrarianAgent,100000.0,100000.0,0.0,0.0
