ticker,posterior_return,weight,view_count,avg_confidence
2,4.942035054925653e-05,0.12086761780321531,898,0.595913140311804
2415,6.580093407465168e-06,0.016092969925218817,188,0.6147872340425532
2594,2.7184608642613335e-05,0.06648554393135121,274,0.5961678832116788
300750,2.5612997098018797e-05,0.0626418451029132,136,0.5799264705882353
333,3.468031031195817e-05,0.08481782191943044,76,0.5882894736842106
600036,2.9782332295453696e-05,0.07283881067552256,164,0.6194512195121952
600519,3.842707568371698e-06,0.009398130619096966,8,0.6799999999999999
601318,0.00012457983559360536,0.30468557562147475,197,0.5680203045685279
601899,6.897847611892653e-05,0.16870103096255862,282,0.6310283687943262
858,3.821827999088229e-05,0.09347065343921816,39,0.6205128205128205
