experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
single_agent,CommitteeTeamAgent,0.026764999999999928,0.14238929059050864,0.11335933808429957,1.256087879453045,-0.05189425133603154,50,0.5714576881133937,,0.044396300000000055
single_agent,ContrarianAgent,0.0661989999999999,0.3813536676620928,0.20508214937674032,1.8595166318524285,-0.06197882289507195,50,0.5714576881133937,,0.004962300000000086
single_agent,DrawdownBuyerAgent,-0.007674199999999964,-0.03808303106506883,0.39486150491515454,-0.09644655300914147,-0.20456037793088033,50,0.5714576881133937,,0.07883549999999995
single_agent,DynamicTeamAgent,-0.03682960000000002,-0.17231752000952194,0.21958625480908317,-0.7847372785666457,-0.1235900713127388,50,0.5714576881133937,,0.1079909
single_agent,FreeRiderAgent,-0.0006780000000000674,-0.0034124432633348967,0.15507264119840655,-0.022005450071420858,-0.05109318597683776,50,0.5714576881133937,,0.07183930000000005
single_agent,LowVolatilityAgent,0.004482499999999945,0.02279729213789561,0.012727496764215706,1.7911842807921095,-0.005317157007412754,50,0.5714576881133937,,0.06667880000000004
single_agent,MeanReversionAgent,-0.03836990000000007,-0.17896708995783694,0.34388656649458327,-0.5204247778043285,-0.1548161418537235,50,0.5714576881133937,,0.10953120000000005
single_agent,MomentumAgent,-0.05282369999999992,-0.23930362539156036,0.21892743725018995,-1.093072793420975,-0.08480530096497729,50,0.5714576881133937,,0.1239849999999999
single_agent,PersuaderAgent,0.07116129999999998,0.41406236327429013,0.15834933340645102,2.6148664750705013,-0.0412694683271867,50,0.5714576881133937,,0.0
single_agent,RandomAgent,-0.032643999999999895,-0.15402972837701867,0.12958048979479306,-1.1886799364699427,-0.06631598910038228,50,0.5714576881133937,,0.10380529999999988
single_agent,SocialGraphAgent,-0.014712999999999976,-0.07198227006665503,0.14055051083256204,-0.5121452041708164,-0.07637157136845063,50,0.5714576881133937,,0.08587429999999996
single_agent,TruthfulReporterAgent,-0.019836999999999994,-0.09605198780081037,0.2518515626832363,-0.38138333063122093,-0.142997446997447,50,0.5714576881133937,,0.09099829999999998
agent_portfolio,correlation_aware_agent_portfolio,-0.015801299173394123,-0.0786476161363342,0.1752451003248433,-0.4487863911204875,-0.08931268054175334,49,0.5714576881133937,0.08963563913280727,0.0869625991733941
agent_portfolio,drawdown_constrained_agent_portfolio,0.0005816450876823254,0.0029949238384601173,0.148960190270225,0.020105531773469812,-0.07440812178695122,49,0.5714576881133937,0.13619116574554105,0.07057965491231766
agent_portfolio,equal_agent_portfolio,-0.0014921831965887256,-0.00765040184175525,0.1628339069780943,-0.04698285500687791,-0.08015864032154363,49,0.5714576881133937,0.08333333333333334,0.07265348319658871
agent_portfolio,hedge_agent_portfolio,0.0008117202565367521,0.004181586483976485,0.14876489591903375,0.028108690952550662,-0.07440812178695122,49,0.5714576881133937,0.15505130386817348,0.07034957974346323
