scenario,experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
adversarial_persuader,agent_portfolio,correlation_aware_agent_portfolio,-0.04970940547813285,-0.23065915999674946,0.12534532546788807,-1.8401895653926201,-0.08360100845404006,49,0.478672794783384,0.08954640678680094,0.05848340547813269
adversarial_persuader,agent_portfolio,drawdown_constrained_agent_portfolio,-0.022792846333077654,-0.11181648647651499,0.07989671280074345,-1.399512978154397,-0.05158223931491046,49,0.478672794783384,0.127479466751782,0.03156684633307749
adversarial_persuader,agent_portfolio,equal_agent_portfolio,-0.0382345141499425,-0.18167230082613728,0.11902482387620489,-1.5263395895892327,-0.0775173600110941,49,0.478672794783384,0.08333333333333334,0.04700851414994234
adversarial_persuader,agent_portfolio,hedge_agent_portfolio,-0.022792846333077654,-0.11181648647651499,0.07989671280074345,-1.399512978154397,-0.05158223931491046,49,0.478672794783384,0.12747946675178204,0.03156684633307749
barbell_two_camps,agent_portfolio,correlation_aware_agent_portfolio,-0.009887123759820149,-0.049817402420579526,0.07147803600601456,-0.696960985559083,-0.03793214863116945,49,0.395199379389427,0.08424602192504381,0.03126592375982029
barbell_two_camps,agent_portfolio,drawdown_constrained_agent_portfolio,0.003941521331141784,0.020436867562929395,0.03997793024328061,0.5112037426290815,-0.015226417263575986,49,0.395199379389427,0.09884576774926176,0.017437278668858358
barbell_two_camps,agent_portfolio,equal_agent_portfolio,0.0005524798702638556,0.0028445786062261114,0.05196568882827652,0.05473955354707561,-0.02501704132520577,49,0.395199379389427,0.08333333333333334,0.020826320129736287
barbell_two_camps,agent_portfolio,hedge_agent_portfolio,0.003941521331141784,0.020436867562929395,0.03997793024328061,0.5112037426290815,-0.015226417263575986,49,0.395199379389427,0.09884576774926176,0.017437278668858358
baseline_isolated,agent_portfolio,correlation_aware_agent_portfolio,-0.03151944179618016,-0.15186004840502143,0.10982621296334562,-1.3827304457425347,-0.06807656917645521,49,0.48055269709505044,0.09011401631029173,0.07806884179618012
baseline_isolated,agent_portfolio,drawdown_constrained_agent_portfolio,-0.0005546720680850159,-0.002849323578685725,0.06477222000016346,-0.04398990151454643,-0.029746241992977374,49,0.48055269709505044,0.10568217233754004,0.04710407206808498
