scenario,experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
adversarial_persuader,single_agent,CommitteeTeamAgent,0.008773999999999837,0.04501170884297778,0.03509218008055391,1.282670633162535,-0.013900253359227843,50,0.478672794783384,,0.0
adversarial_persuader,single_agent,ContrarianAgent,-0.008669999999999956,-0.042938214227356,0.03455117181601156,-1.24274263275371,-0.011457689316128561,50,0.478672794783384,,0.017443999999999793
adversarial_persuader,single_agent,DrawdownBuyerAgent,-0.07851030000000003,-0.33773463109103263,0.3966241458705547,-0.8515231223498387,-0.2050488984230564,50,0.478672794783384,,0.08728429999999987
adversarial_persuader,single_agent,DynamicTeamAgent,-0.026796000000000042,-0.1279375598524003,0.08432649022176493,-1.5171692728577386,-0.04381992409303059,50,0.478672794783384,,0.03556999999999988
adversarial_persuader,single_agent,FreeRiderAgent,-0.007801999999999976,-0.03870724248623503,0.02356060264557551,-1.6428799835263947,-0.015345487911912592,50,0.478672794783384,,0.016575999999999813
adversarial_persuader,single_agent,LowVolatilityAgent,0.00843550000000004,0.04324558110515486,0.023710989939238963,1.8238623193706645,-0.006760976673639174,50,0.478672794783384,,0.0003384999999997973
adversarial_persuader,single_agent,MeanReversionAgent,-0.00527679999999997,-0.026313103250564684,0.35285469603466707,-0.07457206477983076,-0.16126006933395853,50,0.478672794783384,,0.014050799999999808
adversarial_persuader,single_agent,MomentumAgent,-0.22347499999999998,-0.720498959438292,0.31531003815212705,-2.2850492285649158,-0.2422039298731843,50,0.478672794783384,,0.23224899999999982
adversarial_persuader,single_agent,PersuaderAgent,-0.07010000000000005,-0.30670400967242306,0.1971084620304989,-1.556016451617213,-0.11435418818073773,50,0.478672794783384,,0.07887399999999989
adversarial_persuader,single_agent,RandomAgent,-0.03716300000000006,-0.17376047604751632,0.20605613553210608,-0.8432676639247284,-0.10744249543376427,50,0.478672794783384,,0.045936999999999895
adversarial_persuader,single_agent,SocialGraphAgent,-0.019689999999999985,-0.0953685097215311,0.06357293745833986,-1.5001431982599085,-0.0489670100967462,50,0.478672794783384,,0.028463999999999823
adversarial_persuader,single_agent,TruthfulReporterAgent,-0.0019500000000000073,-0.009789363927839911,0.017690454644046023,-0.553369832760893,-0.0071757919319747066,50,0.478672794783384,,0.010723999999999845
barbell_two_camps,single_agent,CommitteeTeamAgent,0.006725300000000045,0.034359135019584874,0.02975353903474719,1.1547915352005391,-0.016372761402511427,50,0.395199379389427,,0.014653500000000097
barbell_two_camps,single_agent,ContrarianAgent,-0.021725399999999895,-0.10479537106516323,0.03921196970639997,-2.672535244972891,-0.027191505891492995,50,0.395199379389427,,0.04310420000000004
barbell_two_camps,single_agent,DrawdownBuyerAgent,-0.0341823,-0.16078815035514193,0.3838496056345867,-0.418883197989286,-0.18560853574092506,50,0.395199379389427,,0.05556110000000014
barbell_two_camps,single_agent,DynamicTeamAgent,0.005509500000000056,0.02807864419039774,0.017454275913367116,1.6086971656552134,-0.008617170039921351,50,0.395199379389427,,0.015869300000000086
barbell_two_camps,single_agent,FreeRiderAgent,0.003856599999999988,0.0195892796678816,0.018342938947793357,1.0679466209660025,-0.009808938718150695,50,0.395199379389427,,0.017522200000000154
barbell_two_camps,single_agent,LowVolatilityAgent,0.006115700000000057,0.031206275264183292,0.019941628342512913,1.5648809980905942,-0.0049270597090311785,50,0.395199379389427,,0.015263100000000085
barbell_two_camps,single_agent,MeanReversionAgent,0.011576400000000042,0.059725515614921676,0.12277248908992326,0.4864731183480073,-0.04799524888458584,50,0.395199379389427,,0.0098024000000001
barbell_two_camps,single_agent,MomentumAgent,-0.01364809999999994,-0.0669160850299978,0.04407012180467887,-1.5184002741488543,-0.031792498255751145,50,0.395199379389427,,0.03502690000000008
barbell_two_camps,single_agent,PersuaderAgent,0.021378800000000142,0.11250422757777168,0.07108473514913975,1.5826777344212017,-0.03407614620369004,50,0.395199379389427,,0.0
barbell_two_camps,single_agent,RandomAgent,0.0014753999999999046,0.007458210776125851,0.022259452380144696,0.3350581428848866,-0.007152334924197312,50,0.395199379389427,,0.019903400000000238
barbell_two_camps,single_agent,SocialGraphAgent,0.007307900000000034,0.03737956710462709,0.008823548434458605,4.236341805372616,-0.002410243017646474,50,0.395199379389427,,0.014070900000000108
