date,manager,equity,daily_return
2021-01-04,equal_agent_portfolio,100000.0,0.0
2021-01-05,equal_agent_portfolio,100359.9125,0.003599124999999999
2021-01-06,equal_agent_portfolio,100486.63453204541,0.0012626757924426117
2021-01-07,equal_agent_portfolio,101326.8166127869,0.008361132648676273
2021-01-08,equal_agent_portfolio,101249.06910934881,-0.000767294444225963
2021-01-11,equal_agent_portfolio,101731.84330691259,0.004768184061449345
2021-01-12,equal_agent_portfolio,102328.72922467945,0.0058672476420794555
2021-01-13,equal_agent_portfolio,102101.28295447404,-0.002222701991207378
2021-01-14,equal_agent_portfolio,100877.05310454172,-0.011990347373775792
2021-01-15,equal_agent_portfolio,100850.60883110198,-0.000262143595851527
2021-01-18,equal_agent_portfolio,100887.1870775828,0.00036269732929491066
2021-01-19,equal_agent_portfolio,100271.57832747985,-0.0061019517734154
2021-01-20,equal_agent_portfolio,100848.99705568854,0.0057585483128916775
2021-01-21,equal_agent_portfolio,101459.07438066427,0.006049413903827368
2021-01-22,equal_agent_portfolio,101453.975586398,-5.0254689365193954e-05
2021-01-25,equal_agent_portfolio,102586.37929917203,0.011161748036277508
2021-01-26,equal_agent_portfolio,101913.59624991666,-0.006558210298984532
2021-01-27,equal_agent_portfolio,101515.18911177486,-0.003909263854891562
2021-01-28,equal_agent_portfolio,100172.62399229145,-0.013225263443140104
2021-01-29,equal_agent_portfolio,100330.10826706568,0.001572128876112346
2021-02-01,equal_agent_portfolio,100566.21648316782,0.002353313678020367
2021-02-02,equal_agent_portfolio,102100.74221531987,0.015258859145893188
2021-02-03,equal_agent_portfolio,102037.42543498488,-0.0006201402552145628
2021-02-04,equal_agent_portfolio,102773.5219048639,0.007213985130858035
2021-02-05,equal_agent_portfolio,102381.51661180213,-0.0038142634970185774
2021-02-08,equal_agent_portfolio,103358.32966258236,0.009540912101194935
2021-02-09,equal_agent_portfolio,104563.25750604711,0.011657772018939305
2021-02-10,equal_agent_portfolio,106262.94358352316,0.016255098760458383
2021-02-18,equal_agent_portfolio,105095.48974558426,-0.010986462435244712
2021-02-19,equal_agent_portfolio,105415.08313253014,0.003040980994708269
2021-02-22,equal_agent_portfolio,102570.09517330103,-0.0269884334830181
2021-02-23,equal_agent_portfolio,102440.93008855135,-0.0012592859988230047
2021-02-24,equal_agent_portfolio,100323.57024587685,-0.020669080618891483
2021-02-25,equal_agent_portfolio,100385.98973211594,0.0006221816676390822
2021-02-26,equal_agent_portfolio,99131.59018826149,-0.012495763076121137
2021-03-01,equal_agent_portfolio,100447.55670192867,0.013274946070854053
2021-03-02,equal_agent_portfolio,99911.04118868186,-0.005341250010081178
2021-03-03,equal_agent_portfolio,100706.65848836298,0.007963257015594636
2021-03-04,equal_agent_portfolio,98443.09383096325,-0.022476812272162708
2021-03-05,equal_agent_portfolio,98100.7770041577,-0.003477306670118946
2021-03-08,equal_agent_portfolio,95128.38774458496,-0.030299344718205008
2021-03-09,equal_agent_portfolio,94031.3594554801,-0.011532081170663167
2021-03-10,equal_agent_portfolio,95237.76006888102,0.012829768923761087
2021-03-11,equal_agent_portfolio,97246.62302704016,0.02109313529325152
2021-03-12,equal_agent_portfolio,97204.56052303595,-0.0004325343409869082
2021-03-15,equal_agent_portfolio,95420.48135520694,-0.018353862804679977
2021-03-16,equal_agent_portfolio,96412.34416613981,0.010394653190237283
2021-03-17,equal_agent_portfolio,96479.25913250083,0.0006940497810706732
2021-03-18,equal_agent_portfolio,97085.86228762729,0.006287394415968502
2021-03-19,equal_agent_portfolio,95358.67977014,-0.017790257786147276
2021-01-04,hedge_agent_portfolio,100000.0,0.0
2021-01-05,hedge_agent_portfolio,100359.9125,0.003599124999999999
2021-01-06,hedge_agent_portfolio,100494.5108040838,0.0013411560525601655
2021-01-07,hedge_agent_portfolio,101344.51174497971,0.008458182781276701
2021-01-08,hedge_agent_portfolio,101245.50564093073,-0.0009769261536146981
2021-01-11,hedge_agent_portfolio,101744.80075092246,0.004931528632614017
2021-01-12,hedge_agent_portfolio,102349.12564698973,0.005939614521892738
