ticker,posterior_return,weight,view_count,avg_confidence
2,0.0001700747714038125,0.3820267942547562,1106,0.5926763110307414
2415,2.8160386114815625e-05,0.06325466113299155,395,0.5931139240506329
2594,5.1577685841010385e-05,0.11585526656470596,353,0.5911614730878187
300750,1.832958314823118e-05,0.04117243158609819,72,0.5618055555555556
333,3.256410658193642e-05,0.07314642343825316,137,0.5583941605839416
600036,2.324047317778567e-05,0.05220341260369956,82,0.6253658536585366
600519,-1.501152029473384e-05,0.0,59,0.5772881355932203
601318,5.595519373618988e-05,0.12568814944449339,225,0.5554222222222223
601899,3.3678051078382394e-05,0.07564859728474667,123,0.5733333333333333
858,3.161043700972251e-05,0.07100426369025528,49,0.5718367346938775
