date,agent,equity,cash,pnl,pnl_pct
2021-01-04,MomentumAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0,0.0,0.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-04,RandomAgent,100000.0,100000.0,0.0,0.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0,0.0,0.0
2021-01-04,PersuaderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,FreeRiderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-04,CommitteeTeamAgent,100000.0,100000.0,0.0,0.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0,0.0,0.0
2021-01-04,SocialGraphAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MomentumAgent,100000.0,59590.0,0.0,0.0
2021-01-04,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0,0.0,0.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-04,RandomAgent,100000.0,98996.0,0.0,0.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0,0.0,0.0
2021-01-04,PersuaderAgent,100000.0,79324.0,0.0,0.0
2021-01-04,FreeRiderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-04,CommitteeTeamAgent,100000.0,98003.0,0.0,0.0
2021-01-04,DynamicTeamAgent,100000.0,150.0,0.0,0.0
2021-01-04,SocialGraphAgent,100000.0,97222.0,0.0,0.0
2021-01-05,MomentumAgent,99790.0,37600.0,-210.0,-0.0021
2021-01-05,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-05,LowVolatilityAgent,100000.0,95782.0,0.0,0.0
2021-01-05,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-05,RandomAgent,100017.0,93518.0,17.0,0.00017
2021-01-05,TruthfulReporterAgent,100000.0,100000.0,0.0,0.0
2021-01-05,PersuaderAgent,101314.0,57334.0,1314.0,0.01314
2021-01-05,FreeRiderAgent,100000.0,78010.0,0.0,0.0
2021-01-05,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-05,CommitteeTeamAgent,100062.45,95212.0,62.45,0.0006245000000000001
2021-01-05,DynamicTeamAgent,103122.5,10.45,3122.5,0.031225
2021-01-05,SocialGraphAgent,100013.0,97222.0,13.0,0.00013
2021-01-06,MomentumAgent,99907.0,15970.0,-93.0,-0.00093
2021-01-06,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-06,LowVolatilityAgent,100197.0,92907.0,197.0,0.00197
2021-01-06,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-06,RandomAgent,100110.0,94568.0,110.0,0.0011
2021-01-06,TruthfulReporterAgent,100000.0,78370.0,0.0,0.0
2021-01-06,PersuaderAgent,100594.0,35704.0,594.0,0.00594
2021-01-06,FreeRiderAgent,99640.0,99640.0,-360.0,-0.0036
2021-01-06,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-06,CommitteeTeamAgent,100187.0,73582.0,187.0,0.00187
2021-01-06,DynamicTeamAgent,105154.2,10.45,5154.2,0.051542
2021-01-06,SocialGraphAgent,100097.0,97222.0,97.0,0.00097
2021-01-07,MomentumAgent,102301.0,217.2,2301.0,0.02301
2021-01-07,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-07,LowVolatilityAgent,100376.0,92331.2,376.0,0.00376
2021-01-07,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-07,RandomAgent,100397.0,93450.0,397.0,0.00397
2021-01-07,TruthfulReporterAgent,100874.0,78370.0,874.0,0.00874
2021-01-07,PersuaderAgent,104090.0,14074.0,4090.0,0.0409
2021-01-07,FreeRiderAgent,99640.0,96761.0,-360.0,-0.0036
2021-01-07,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-07,CommitteeTeamAgent,101105.0,73582.0,1105.0,0.01105
2021-01-07,DynamicTeamAgent,107154.4,10.45,7154.4,0.071544
2021-01-07,SocialGraphAgent,100101.0,97222.0,101.0,0.00101
2021-01-08,MomentumAgent,102094.9,1.55,2094.9,0.020949000000000002
2021-01-08,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-08,LowVolatilityAgent,100512.0,93798.2,512.0,0.00512
2021-01-08,DrawdownBuyerAgent,100000.0,97066.0,0.0,0.0
2021-01-08,RandomAgent,100319.0,94585.0,319.0,0.00319
2021-01-08,TruthfulReporterAgent,101121.0,78370.0,1121.0,0.01121
2021-01-08,PersuaderAgent,105078.0,14074.0,5078.0,0.05078
2021-01-08,FreeRiderAgent,99695.0,95626.0,-305.0,-0.00305
2021-01-08,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-08,CommitteeTeamAgent,101357.0,73582.0,1357.0,0.01357
2021-01-08,DynamicTeamAgent,104657.15,10.45,4657.15,0.046571499999999995
2021-01-08,SocialGraphAgent,100156.0,97222.0,156.0,0.00156
2021-01-11,MomentumAgent,102616.48,39001.55,2616.48,0.0261648
2021-01-11,MeanReversionAgent,100000.0,61000.0,0.0,0.0
2021-01-11,LowVolatilityAgent,100724.8,96219.2,724.8,0.007247999999999999
2021-01-11,DrawdownBuyerAgent,100044.0,58066.0,44.0,0.00044
2021-01-11,RandomAgent,100485.0,93518.0,485.0,0.00485
2021-01-11,TruthfulReporterAgent,101856.0,78370.0,1856.0,0.01856
2021-01-11,PersuaderAgent,108018.0,37560.0,8018.0,0.08018
2021-01-11,FreeRiderAgent,99671.0,96693.0,-329.0,-0.00329
2021-01-11,ContrarianAgent,100000.0,100000.0,0.0,0.0
