agent,equity,cash,pnl,pnl_pct
PersuaderAgent,104654.94,100718.68,4654.94,0.0465494
ContrarianAgent,100805.59,88196.19,805.59,0.0080559
CommitteeTeamAgent,100760.58,98434.23,760.58,0.0076058
TruthfulReporterAgent,100036.7,98036.91,36.7,0.00036700000000000003
FreeRiderAgent,100032.33,97048.85,32.33,0.0003233
DynamicTeamAgent,100008.25,98526.55,8.25,8.25e-05
SocialGraphAgent,99917.46,95367.06,-82.54,-0.0008254000000000001
RandomAgent,99762.65,76293.91,-237.35,-0.0023734999999999997
LowVolatilityAgent,99694.54,99583.7,-305.46,-0.0030545999999999998
MeanReversionAgent,92670.67,100.96,-7329.33,-0.0732933
MomentumAgent,91169.72,36783.78,-8830.28,-0.0883028
DrawdownBuyerAgent,87526.79,1263.23,-12473.21,-0.12473209999999998
