experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
single_agent,CommitteeTeamAgent,0.008773999999999837,0.04501170884297778,0.03509218008055391,1.282670633162535,-0.013900253359227843,50,0.478672794783384,,0.0
single_agent,ContrarianAgent,-0.008669999999999956,-0.042938214227356,0.03455117181601156,-1.24274263275371,-0.011457689316128561,50,0.478672794783384,,0.017443999999999793
single_agent,DrawdownBuyerAgent,-0.07851030000000003,-0.33773463109103263,0.3966241458705547,-0.8515231223498387,-0.2050488984230564,50,0.478672794783384,,0.08728429999999987
single_agent,DynamicTeamAgent,-0.026796000000000042,-0.1279375598524003,0.08432649022176493,-1.5171692728577386,-0.04381992409303059,50,0.478672794783384,,0.03556999999999988
single_agent,FreeRiderAgent,-0.007801999999999976,-0.03870724248623503,0.02356060264557551,-1.6428799835263947,-0.015345487911912592,50,0.478672794783384,,0.016575999999999813
single_agent,LowVolatilityAgent,0.00843550000000004,0.04324558110515486,0.023710989939238963,1.8238623193706645,-0.006760976673639174,50,0.478672794783384,,0.0003384999999997973
single_agent,MeanReversionAgent,-0.00527679999999997,-0.026313103250564684,0.35285469603466707,-0.07457206477983076,-0.16126006933395853,50,0.478672794783384,,0.014050799999999808
single_agent,MomentumAgent,-0.22347499999999998,-0.720498959438292,0.31531003815212705,-2.2850492285649158,-0.2422039298731843,50,0.478672794783384,,0.23224899999999982
single_agent,PersuaderAgent,-0.07010000000000005,-0.30670400967242306,0.1971084620304989,-1.556016451617213,-0.11435418818073773,50,0.478672794783384,,0.07887399999999989
single_agent,RandomAgent,-0.03716300000000006,-0.17376047604751632,0.20605613553210608,-0.8432676639247284,-0.10744249543376427,50,0.478672794783384,,0.045936999999999895
single_agent,SocialGraphAgent,-0.019689999999999985,-0.0953685097215311,0.06357293745833986,-1.5001431982599085,-0.0489670100967462,50,0.478672794783384,,0.028463999999999823
single_agent,TruthfulReporterAgent,-0.0019500000000000073,-0.009789363927839911,0.017690454644046023,-0.553369832760893,-0.0071757919319747066,50,0.478672794783384,,0.010723999999999845
agent_portfolio,correlation_aware_agent_portfolio,-0.04970940547813285,-0.23065915999674946,0.12534532546788807,-1.8401895653926201,-0.08360100845404006,49,0.478672794783384,0.08954640678680094,0.05848340547813269
agent_portfolio,drawdown_constrained_agent_portfolio,-0.022792846333077654,-0.11181648647651499,0.07989671280074345,-1.399512978154397,-0.05158223931491046,49,0.478672794783384,0.127479466751782,0.03156684633307749
agent_portfolio,equal_agent_portfolio,-0.0382345141499425,-0.18167230082613728,0.11902482387620489,-1.5263395895892327,-0.0775173600110941,49,0.478672794783384,0.08333333333333334,0.04700851414994234
agent_portfolio,hedge_agent_portfolio,-0.022792846333077654,-0.11181648647651499,0.07989671280074345,-1.399512978154397,-0.05158223931491046,49,0.478672794783384,0.12747946675178204,0.03156684633307749
