date,agent,ticker,belief,source
2023-05-01,TruthfulReporterAgent,NVDA,0.4258091527232854,reputation_weighted
2023-05-01,TruthfulReporterAgent,AAPL,0.0,reputation_weighted
2023-05-01,TruthfulReporterAgent,GOOGL,0.3979977704012814,reputation_weighted
2023-05-01,TruthfulReporterAgent,AAPL,-0.3430064662019689,own
2023-05-01,TruthfulReporterAgent,AMZN,0.6005879042772783,own
2023-05-01,TruthfulReporterAgent,GOOGL,-0.3430064662019689,own
2023-05-01,TruthfulReporterAgent,MSFT,-0.22856203946940262,own
2023-05-01,TruthfulReporterAgent,NVDA,0.656993533798031,own
2023-05-01,TruthfulReporterAgent,TSLA,-0.3430064662019689,own
2023-05-01,TruthfulReporterAgent,NVDA,0.656993533798031,snapshot
2023-05-01,TruthfulReporterAgent,AAPL,-0.3430064662019689,snapshot
2023-05-01,TruthfulReporterAgent,GOOGL,-0.3430064662019689,snapshot
2023-05-01,TruthfulReporterAgent,AMZN,0.6005879042772783,snapshot
2023-05-01,TruthfulReporterAgent,MSFT,-0.22856203946940262,snapshot
2023-05-01,TruthfulReporterAgent,TSLA,-0.3430064662019689,snapshot
2023-05-08,TruthfulReporterAgent,NVDA,0.5587717472022544,reputation_weighted
2023-05-08,TruthfulReporterAgent,AAPL,-0.13720258648078756,reputation_weighted
2023-05-08,TruthfulReporterAgent,GOOGL,0.20645685910916453,reputation_weighted
2023-05-08,TruthfulReporterAgent,AMZN,0.5618398775976541,reputation_weighted
2023-05-08,TruthfulReporterAgent,AAPL,-0.451345296452284,own
2023-05-08,TruthfulReporterAgent,AMZN,0.1999788710777774,own
2023-05-08,TruthfulReporterAgent,GOOGL,-0.451345296452284,own
2023-05-08,TruthfulReporterAgent,MSFT,-0.3945976852686416,own
2023-05-08,TruthfulReporterAgent,NVDA,0.548654703547716,own
2023-05-08,TruthfulReporterAgent,TSLA,0.548654703547716,own
2023-05-08,TruthfulReporterAgent,NVDA,0.548654703547716,snapshot
2023-05-08,TruthfulReporterAgent,AAPL,-0.451345296452284,snapshot
2023-05-08,TruthfulReporterAgent,GOOGL,-0.451345296452284,snapshot
2023-05-08,TruthfulReporterAgent,AMZN,0.1999788710777774,snapshot
2023-05-08,TruthfulReporterAgent,MSFT,-0.3945976852686416,snapshot
2023-05-08,TruthfulReporterAgent,TSLA,0.548654703547716,snapshot
2023-05-15,TruthfulReporterAgent,NVDA,0.48464211492625825,reputation_weighted
2023-05-15,TruthfulReporterAgent,AAPL,-0.18053811858091362,reputation_weighted
2023-05-15,TruthfulReporterAgent,GOOGL,0.035286944271019555,reputation_weighted
2023-05-15,TruthfulReporterAgent,AMZN,0.28166635553602953,reputation_weighted
