date,manager,equity,daily_return
2021-01-04,equal_agent_portfolio,100000.0,0.0
2021-01-05,equal_agent_portfolio,100008.15583333334,8.155833333332402e-05
2021-01-06,equal_agent_portfolio,100013.52631850488,5.37004719944889e-05
2021-01-07,equal_agent_portfolio,100025.67996989691,0.00012152007672770285
2021-01-08,equal_agent_portfolio,100023.52187486352,-2.1575409775144903e-05
2021-01-11,equal_agent_portfolio,100015.93548100207,-7.584609819026127e-05
2021-01-12,equal_agent_portfolio,100027.8773990771,0.00011940015376142123
2021-01-13,equal_agent_portfolio,100022.98916367348,-4.886873070510574e-05
2021-01-14,equal_agent_portfolio,100004.89698005257,-0.00018088025335170435
2021-01-15,equal_agent_portfolio,100036.62591507625,0.00031727381340131605
2021-01-18,equal_agent_portfolio,100065.29486005884,0.0002865844856356584
2021-01-19,equal_agent_portfolio,100051.54981707069,-0.000137360740378456
2021-01-20,equal_agent_portfolio,100045.98080681829,-5.566140916937745e-05
2021-01-21,equal_agent_portfolio,100156.08233330166,0.001100509241805214
2021-01-22,equal_agent_portfolio,100107.62437748186,-0.0004838243937950921
2021-01-25,equal_agent_portfolio,100162.2916152834,0.0005460846578017596
2021-01-26,equal_agent_portfolio,100125.73355123003,-0.00036498829513384456
2021-01-27,equal_agent_portfolio,100125.62267575013,-1.1073624729684937e-06
2021-01-28,equal_agent_portfolio,100102.82024926352,-0.0002277381740782199
2021-01-29,equal_agent_portfolio,100099.31155657259,-3.505088749942523e-05
2021-02-01,equal_agent_portfolio,100117.88816056271,0.00018558173579065013
2021-02-02,equal_agent_portfolio,100160.95835923441,0.0004301948379357433
2021-02-03,equal_agent_portfolio,100171.81085780195,0.00010835058634929098
2021-02-04,equal_agent_portfolio,100188.18107874584,0.00016342143367178982
2021-02-05,equal_agent_portfolio,100172.03660910932,-0.00016114145862997087
2021-02-08,equal_agent_portfolio,100196.23622360194,0.00024158053796050072
2021-02-09,equal_agent_portfolio,100240.59266572742,0.0004426956919469926
2021-02-10,equal_agent_portfolio,100284.67828114015,0.0004397980323173993
