ticker,posterior_return,weight,view_count,avg_confidence
2,0.0001355975328355494,0.2856562054372981,700,0.5898571428571429
2415,2.5566281348427153e-05,0.05385914304201418,109,0.5951376146788991
2594,4.729194682456636e-05,0.09962746220487582,407,0.5899017199017199
300750,1.9455216628335742e-05,0.04098528374222758,51,0.5709803921568628
333,4.124015319784554e-05,0.08687846620658378,90,0.5965555555555555
600036,6.752921325579187e-05,0.14226024922009742,263,0.6138783269961977
600519,7.381278767638353e-07,0.0015549752565156435,42,0.5828571428571429
601318,4.338422454227599e-05,0.09139526877392577,267,0.5926966292134831
601899,3.6307565929313926e-05,0.07648724350029819,258,0.6016666666666666
858,5.757759749390942e-05,0.12129570261616339,184,0.5839130434782609
