date,agent,equity,cash,pnl,pnl_pct
2021-01-04,MomentumAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-04,LowVolatilityAgent,100000.0,100000.0,0.0,0.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-04,RandomAgent,100000.0,100000.0,0.0,0.0
2021-01-04,TruthfulReporterAgent,100000.0,100000.0,0.0,0.0
2021-01-04,PersuaderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,FreeRiderAgent,100000.0,100000.0,0.0,0.0
2021-01-04,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-04,CommitteeTeamAgent,100000.0,100000.0,0.0,0.0
2021-01-04,DynamicTeamAgent,100000.0,100000.0,0.0,0.0
2021-01-04,SocialGraphAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MomentumAgent,100000.0,100000.0,0.0,0.0
2021-01-04,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-04,LowVolatilityAgent,100000.0,95683.0,0.0,0.0
2021-01-04,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-04,RandomAgent,100000.0,98996.0,0.0,0.0
2021-01-04,TruthfulReporterAgent,100000.0,99502.0,0.0,0.0
2021-01-04,PersuaderAgent,100000.0,99793.24,0.0,0.0
2021-01-04,FreeRiderAgent,100000.0,91482.0,0.0,0.0
2021-01-04,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-04,CommitteeTeamAgent,100000.0,98996.0,0.0,0.0
2021-01-04,DynamicTeamAgent,100000.0,97222.0,0.0,0.0
2021-01-04,SocialGraphAgent,100000.0,97222.0,0.0,0.0
2021-01-05,MomentumAgent,100000.0,98979.0,0.0,0.0
2021-01-05,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-05,LowVolatilityAgent,99901.0,90205.0,-99.0,-0.00099
2021-01-05,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-05,RandomAgent,100017.0,97980.6,17.0,0.00017
2021-01-05,TruthfulReporterAgent,100049.8,99502.0,49.8,0.000498
2021-01-05,PersuaderAgent,100013.14,97594.24,13.14,0.0001314
2021-01-05,FreeRiderAgent,99909.0,88691.0,-91.0,-0.00091
2021-01-05,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-05,CommitteeTeamAgent,100017.0,97975.0,17.0,0.00017
2021-01-05,DynamicTeamAgent,100013.0,96674.2,13.0,0.00013
2021-01-05,SocialGraphAgent,100013.0,94431.0,13.0,0.00013
2021-01-06,MomentumAgent,100029.0,97929.0,29.0,0.00029
2021-01-06,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-06,LowVolatilityAgent,100162.0,90205.0,162.0,0.00162
2021-01-06,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-06,RandomAgent,100040.2,98085.6,40.2,0.000402
2021-01-06,TruthfulReporterAgent,100056.2,99502.0,56.2,0.000562
2021-01-06,PersuaderAgent,99973.54,97594.24,-26.46,-0.00026460000000000003
2021-01-06,FreeRiderAgent,100140.0,88136.8,140.0,0.0014
2021-01-06,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-06,CommitteeTeamAgent,100075.0,97975.0,75.0,0.00075
2021-01-06,DynamicTeamAgent,100103.4,88100.2,103.4,0.001034
2021-01-06,SocialGraphAgent,100181.0,93381.0,181.0,0.00181
2021-01-07,MomentumAgent,100165.0,96811.0,165.0,0.00165
2021-01-07,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-07,LowVolatilityAgent,100624.0,90205.0,624.0,0.00624
2021-01-07,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-07,RandomAgent,100140.0,98644.6,140.0,0.0014
2021-01-07,TruthfulReporterAgent,100084.9,99502.0,84.9,0.000849
2021-01-07,PersuaderAgent,100069.68,97594.24,69.68,0.0006968
2021-01-07,FreeRiderAgent,100224.7,88136.8,224.7,0.002247
2021-01-07,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-07,CommitteeTeamAgent,100211.0,99093.0,211.0,0.00211
2021-01-07,DynamicTeamAgent,100188.1,86982.2,188.1,0.0018809999999999999
2021-01-07,SocialGraphAgent,100257.0,87552.0,257.0,0.00257
2021-01-08,MomentumAgent,100216.0,96811.0,216.0,0.00216
2021-01-08,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-08,LowVolatilityAgent,100599.0,90205.0,599.0,0.00599
2021-01-08,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-08,RandomAgent,100128.7,99098.6,128.7,0.001287
2021-01-08,TruthfulReporterAgent,100075.4,99502.0,75.4,0.000754
2021-01-08,PersuaderAgent,100096.85,97594.24,96.85,0.0009685
2021-01-08,FreeRiderAgent,100254.2,88136.8,254.2,0.002542
2021-01-08,ContrarianAgent,100000.0,100000.0,0.0,0.0
2021-01-08,CommitteeTeamAgent,100228.0,93359.0,228.0,0.00228
2021-01-08,DynamicTeamAgent,100234.6,88117.2,234.6,0.002346
2021-01-08,SocialGraphAgent,100289.0,88687.0,289.0,0.00289
2021-01-11,MomentumAgent,100012.0,97878.0,12.0,0.00012
2021-01-11,MeanReversionAgent,100000.0,100000.0,0.0,0.0
2021-01-11,LowVolatilityAgent,100947.0,96105.0,947.0,0.00947
2021-01-11,DrawdownBuyerAgent,100000.0,100000.0,0.0,0.0
2021-01-11,RandomAgent,100108.6,60098.6,108.6,0.001086
2021-01-11,TruthfulReporterAgent,100092.0,99502.0,92.0,0.00092
2021-01-11,PersuaderAgent,100177.7,97594.24,177.7,0.001777
2021-01-11,FreeRiderAgent,100107.8,88136.8,107.8,0.001078
2021-01-11,ContrarianAgent,100000.0,98933.0,0.0,0.0
