ticker,posterior_return,weight,view_count,avg_confidence
2,0.00012289121854342403,0.24449362897357388,529,0.596124763705104
2415,1.8560457171684663e-05,0.036926263593930364,144,0.5870833333333334
2594,6.53990885950898e-05,0.13011231145476657,260,0.6122307692307692
300750,1.8530546124072838e-05,0.036866755187522686,91,0.5693406593406594
333,2.0414874804163518e-05,0.04061565085830296,29,0.5851724137931034
600036,0.000122543382495738,0.24380160477042442,366,0.5845628415300547
600519,4.024408514501373e-06,0.008006611488150482,109,0.5542201834862386
601318,5.623185983113136e-06,0.011187399422838844,425,0.5670352941176471
601899,5.958084246498309e-05,0.11853683740973879,134,0.5925373134328359
858,6.506766339545096e-05,0.12945293684075088,123,0.583739837398374
