experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
single_agent,CommitteeTeamAgent,0.009248600000000051,0.047491974960824246,0.016498947307027147,2.8784851589044536,-0.0032166553858770097,50,0.4612573289706751,,0.0
single_agent,ContrarianAgent,-0.0337094,-0.15871511912610592,0.15192852181330782,-1.0446696724999245,-0.06499676391758391,50,0.4612573289706751,,0.04295800000000005
single_agent,DrawdownBuyerAgent,-0.11275860000000004,-0.4528194342343491,0.38452560009169584,-1.1776054289398874,-0.18391029816552085,50,0.4612573289706751,,0.1220072000000001
single_agent,DynamicTeamAgent,-0.003038200000000102,-0.015218841379627479,0.007893500311591384,-1.9280218887530842,-0.005435748384486572,50,0.4612573289706751,,0.012286800000000153
single_agent,FreeRiderAgent,-0.0008920000000000039,-0.004487586822602863,0.015973565595658237,-0.2809383287487566,-0.0059396396975437415,50,0.4612573289706751,,0.010140600000000055
single_agent,LowVolatilityAgent,-0.003862499999999991,-0.019315706912505393,0.010351398649632389,-1.865999713303608,-0.006056967440540961,50,0.4612573289706751,,0.013111100000000042
single_agent,MeanReversionAgent,-0.07137119999999997,-0.31146752544253153,0.2964538263798404,-1.0506443085792874,-0.15705835149953906,50,0.4612573289706751,,0.08061980000000002
single_agent,MomentumAgent,-0.24740679999999993,-0.7612937108523862,0.3429143296117979,-2.220069694125124,-0.2816927452359954,50,0.4612573289706751,,0.2566554
single_agent,PersuaderAgent,-0.018012200000000034,-0.0875381726336576,0.08497661515455908,-1.0301442635063711,-0.04846272495366766,50,0.4612573289706751,,0.027260800000000085
single_agent,RandomAgent,-0.04142509999999999,-0.19202986772752628,0.08360908383595246,-2.2967584252484317,-0.05708796861045595,50,0.4612573289706751,,0.050673700000000044
single_agent,SocialGraphAgent,-0.006521600000000016,-0.03243871369634943,0.016054168321539164,-2.020578895564951,-0.01110738221615859,50,0.4612573289706751,,0.015770200000000067
single_agent,TruthfulReporterAgent,-0.007611900000000005,-0.037778622433249254,0.018865388217496958,-2.002536178832035,-0.008371335315975892,50,0.4612573289706751,,0.016860500000000056
agent_portfolio,correlation_aware_agent_portfolio,-0.04804752972100845,-0.22371469734183558,0.08358292095363265,-2.6765599334096084,-0.0580512778944926,49,0.4612573289706751,0.09178104377692758,0.057296129721008504
agent_portfolio,drawdown_constrained_agent_portfolio,-0.02466258595423032,-0.12052172014585794,0.056658822407868153,-2.1271483420227457,-0.03243284088250342,49,0.4612573289706751,0.12067558182535205,0.03391118595423037
agent_portfolio,equal_agent_portfolio,-0.045454677605090366,-0.21277919674060342,0.10210579981200199,-2.0839090152799757,-0.06492694410467437,49,0.4612573289706751,0.08333333333333334,0.05470327760509042
agent_portfolio,hedge_agent_portfolio,-0.02466258595423032,-0.12052172014585794,0.056658822407868153,-2.1271483420227457,-0.03243284088250342,49,0.4612573289706751,0.12067558182535205,0.03391118595423037
