experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
single_agent,CommitteeTeamAgent,-0.0006744000000000749,-0.003394348779062639,0.008887132648897124,-0.3819397001443285,-0.004998705617619503,50,0.45426072154516417,,0.07922070000000003
single_agent,ContrarianAgent,0.07854629999999996,0.46388687919112814,0.1156417924607942,4.011412045073572,-0.013791422868266956,50,0.45426072154516417,,0.0
single_agent,DrawdownBuyerAgent,-0.10846220000000006,-0.43933377133352014,0.4206065421464735,-1.0445243411847003,-0.22704091845996333,50,0.45426072154516417,,0.18700850000000002
single_agent,DynamicTeamAgent,0.0014127999999999918,0.0071408620290440705,0.035259889215527154,0.20252082998319515,-0.014439874667289132,50,0.45426072154516417,,0.07713349999999997
single_agent,FreeRiderAgent,-0.003088099999999927,-0.015467239545903788,0.02671562345044651,-0.5789585848368168,-0.013376957297933978,50,0.45426072154516417,,0.08163439999999988
single_agent,LowVolatilityAgent,-0.0096503,-0.04769861760655003,0.029964927503167187,-1.5918148843012705,-0.017685123979264694,50,0.45426072154516417,,0.08819659999999996
single_agent,MeanReversionAgent,-0.068666,-0.3012987696767694,0.32046269454194287,-0.9401992019927135,-0.14172725401945585,50,0.45426072154516417,,0.14721229999999996
single_agent,MomentumAgent,-0.19857000000000002,-0.6722953523807306,0.3115700791983883,-2.157766092656975,-0.2253025550605985,50,0.45426072154516417,,0.2771163
single_agent,PersuaderAgent,-0.05319850000000004,-0.24081950078415348,0.09610364327653494,-2.5058311274548,-0.07169175270824624,50,0.45426072154516417,,0.1317448
single_agent,RandomAgent,-0.021567899999999973,-0.10406874014311773,0.07107806686826772,-1.464147024932363,-0.026765446706196627,50,0.45426072154516417,,0.10011419999999993
single_agent,SocialGraphAgent,-0.002938999999999914,-0.01472488259621485,0.03249537539944471,-0.4531377900766295,-0.01636993513594176,50,0.45426072154516417,,0.08148529999999987
single_agent,TruthfulReporterAgent,-0.0012055000000000815,-0.006060943015596787,0.023179354227124322,-0.26148023608458915,-0.013881634954724054,50,0.45426072154516417,,0.07975180000000004
agent_portfolio,correlation_aware_agent_portfolio,-0.03390571474047832,-0.1625526818562124,0.08700437159772151,-1.8683277503319085,-0.05579272872078922,49,0.45426072154516417,0.09861412859262086,0.11245201474047828
agent_portfolio,drawdown_constrained_agent_portfolio,-0.014878759498346494,-0.07419745486881879,0.0621469381159046,-1.1939036277288493,-0.034474798038967025,49,0.45426072154516417,0.10467566824751581,0.09342505949834645
agent_portfolio,equal_agent_portfolio,-0.03243321441920877,-0.15596748089892165,0.10233596123924797,-1.524073053208444,-0.06515240990470239,49,0.45426072154516417,0.08333333333333334,0.11097951441920872
agent_portfolio,hedge_agent_portfolio,-0.014878759498346494,-0.07419745486881879,0.0621469381159046,-1.1939036277288493,-0.034474798038967025,49,0.45426072154516417,0.10467566824751583,0.09342505949834645
