ticker,posterior_return,weight,view_count,avg_confidence
2,0.0001809970972696317,0.28651914003014384,834,0.5942446043165468
2415,0.0001559910854791081,0.24693452181313902,269,0.6204460966542751
2594,1.24404341147752e-05,0.019693257725880143,217,0.5995391705069124
300750,3.2975973207472335e-05,0.05220109950706539,109,0.5507339449541284
333,8.280751727080655e-05,0.13108463613158503,181,0.5911602209944752
600036,-1.280423905602309e-05,0.0,153,0.6145751633986928
600519,1.2347361892644616e-05,0.01954592402026925,93,0.5927956989247312
601318,7.101338409775526e-05,0.11241447542116448,212,0.569245283018868
601899,3.7589633753201606e-05,0.05950454288761925,125,0.6063999999999999
858,4.5547831640919144e-05,0.07210240246313362,147,0.5838775510204082
